wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
f8:e6:1a:f1:d6:49,0.000000000,744,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,0.000005989,745,,157
f8:e6:1a:f1:d6:49,0.000013210,746,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,0.000015321,747,,157
f8:e6:1a:f1:d6:49,0.000027007,765,,157
f8:e6:1a:f1:d6:49,0.000029179,766,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,0.000031521,767,,157
f8:e6:1a:f1:d6:49,0.000055464,785,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2.307440554,870,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2.307447075,871,,157
f8:e6:1a:f1:d6:49,2.307451082,872,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2.307455036,873,,157
f8:e6:1a:f1:d6:49,2.437658970,884,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2.442874853,885,,157
f8:e6:1a:f1:d6:49,2.560242271,893,,157
f8:e6:1a:f1:d6:49,2.578109344,894,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2.581201686,895,,157
f8:e6:1a:f1:d6:49,2.741533893,906,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2.876869319,916,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2.882457719,917,,157
f8:e6:1a:f1:d6:49,2.942283422,923,,157
f8:e6:1a:f1:d6:49,8.454509031,2,,159
f8:e6:1a:f1:d6:49,8.454512435,3,T wifi zone_secure,177
f8:e6:1a:f1:d6:49,8.454514135,4,,159
f8:e6:1a:f1:d6:49,15.649230917,62,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,15.654235148,63,,157
f8:e6:1a:f1:d6:49,15.668883462,64,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,15.673770220,65,,157
f8:e6:1a:f1:d6:49,15.812029064,76,,157
f8:e6:1a:f1:d6:49,15.974037359,87,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,15.979899198,88,,157
f8:e6:1a:f1:d6:49,15.994602000,89,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,16.000346079,90,,157
f8:e6:1a:f1:d6:49,16.115446027,97,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,16.206084898,102,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,20.741700520,190,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,20.741703016,191,,157
f8:e6:1a:f1:d6:49,20.741705639,192,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,20.741706813,193,,157
f8:e6:1a:f1:d6:49,20.741707977,200,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,20.741709136,202,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,20.741710288,203,,157
f8:e6:1a:f1:d6:49,20.741712765,213,,157
f8:e6:1a:f1:d6:49,20.741716530,223,,157
f8:e6:1a:f1:d6:49,20.741721648,231,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,20.741722819,232,,157
f8:e6:1a:f1:d6:49,26.883114895,254,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883117207,255,,157
f8:e6:1a:f1:d6:49,26.883118375,256,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883119527,257,,157
f8:e6:1a:f1:d6:49,26.883123332,265,,157
f8:e6:1a:f1:d6:49,26.883124490,266,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883129548,277,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883130720,278,,157
f8:e6:1a:f1:d6:49,26.883131869,279,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883133017,280,,157
f8:e6:1a:f1:d6:49,26.883134164,281,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883135305,282,,157
f8:e6:1a:f1:d6:49,26.883136463,285,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883137609,287,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883141149,292,,157
f8:e6:1a:f1:d6:49,26.883144661,298,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883149490,305,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883151989,311,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883153141,312,,157
f8:e6:1a:f1:d6:49,26.883154286,313,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,26.883155430,314,,157
f8:e6:1a:f1:d6:49,39.673153245,418,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,39.678953095,419,,157
f8:e6:1a:f1:d6:49,39.696503677,420,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,39.702344200,421,,157
f8:e6:1a:f1:d6:49,39.813843533,429,,157
f8:e6:1a:f1:d6:49,39.830137261,430,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,39.835150637,431,,157
f8:e6:1a:f1:d6:49,40.156472288,455,,157
f8:e6:1a:f1:d6:49,40.228806534,458,,157
f8:e6:1a:f1:d6:49,40.246407769,459,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,40.252117507,460,,157
f8:e6:1a:f1:d6:49,74.751955496,600,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,74.751958375,601,,157
f8:e6:1a:f1:d6:49,74.751960093,602,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,74.751961712,603,,157
f8:e6:1a:f1:d6:49,80.646095257,729,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,80.646098622,730,,157
f8:e6:1a:f1:d6:49,80.646104905,731,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,80.646106968,732,,157
f8:e6:1a:f1:d6:49,80.646115198,752,,157
f8:e6:1a:f1:d6:49,80.646127841,770,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,80.646129844,772,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,135.893965932,886,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,135.896585000,887,,157
f8:e6:1a:f1:d6:49,135.916187974,888,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,135.920982281,889,,157
f8:e6:1a:f1:d6:49,136.053202484,898,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,136.451495407,925,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,136.469677159,927,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,136.474683947,928,,157
84:2e:27:a5:bc:6f,170.753130272,3291,U+zone,163
84:2e:27:a5:bc:6f,171.138383240,3421,U+zone,163
84:2e:27:a5:bc:6f,171.143197638,3422,U+zone_5G,166
84:2e:27:a5:bc:6f,171.149024281,3423,5G_U+zone,166
