Clock skew,RSS,Channel,duration,SSID,Mac address
0.0,-89,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
0.0,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
0.0004003495819591473,-89,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
-0.00010221757802536415,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
0.0,-89,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
0.0,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
2.6297066438544085e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
1.902934170870173e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
1.9441310058324575e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
1.8473621392116877e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
1.9370814069173267e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
1.9024500857344527e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
1.8833594229525714e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
1.9780108662377172e-05,-91,1,3032,KT_GiGA_2G_0D51,88:3c:1c:6a:0d:55
