Clock skew,RSS,Channel,duration,SSID,Mac address
-1.7023441908802922e-05,-69,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6843418243598464e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6955866838964337e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.7094315529364412e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.7287840712135012e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.7051000702313275e-05,-67,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.7290956019228103e-05,-69,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.7242919008938402e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6915925826753542e-05,-69,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6225009028396006e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6174816771609322e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.692746263140096e-05,-69,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.637015355032215e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.689786951967068e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6724042773936155e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6580158382731833e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6631274999469587e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.667620110488186e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.649065126382507e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.646240272220769e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6131351527556326e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.610052189547371e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6787862879851478e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.5959758754639685e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6527605937348345e-05,-69,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.655915289202781e-05,-73,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6763306830251773e-05,-73,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6460271326037872e-05,-73,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.6669845535610497e-05,-73,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
-1.665528453770176e-05,-71,6,381,CNU WiFi,a0:ec:f9:9f:a8:c0
