Clock skew,RSS,Channel,duration,SSID,MAC Address
1.2188671450451674e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.143233216085715e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.123134774173671e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1401504850088056e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.072184989082375e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1234767134086523e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1041712430435968e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1033538817551065e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.0943386900414704e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1043997465854206e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1206040224383036e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1275147454512333e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.0792330173032645e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1248901548690897e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.104962947404343e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.0860395487010344e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.1620260380586149e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
1.2927673159347756e-05,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
0.0,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
9.247079444673137e-06,-91,1,3080,KT_GiGA_2G_Wave2_E0D0,b4:a9:4f:5e:e0:d4
