,sa,timedifference,sequence no,length
1092,00:f4:6f:9e:c6:eb,3270.052580571,45072,149
1093,00:f4:6f:9e:c6:eb,3270.072561126,45073,149
1094,00:f4:6f:9e:c6:eb,3270.182263887,45078,149
1095,00:f4:6f:9e:c6:eb,3270.2252992030003,45080,149
1098,00:f4:6f:9e:c6:eb,3272.0955417050004,45098,149
1099,00:f4:6f:9e:c6:eb,3273.943562741,45110,149
1100,00:f4:6f:9e:c6:eb,3273.963789033,45111,149
1101,00:f4:6f:9e:c6:eb,3274.006260967,45113,149
1102,00:f4:6f:9e:c6:eb,3274.0801772980003,45116,149
1103,00:f4:6f:9e:c6:eb,3274.099609897,45117,149
1104,00:f4:6f:9e:c6:eb,3274.212710111,45122,149
1105,00:f4:6f:9e:c6:eb,3274.233214501,45123,149
1106,00:f4:6f:9e:c6:eb,3274.365815021,45129,149
1107,00:f4:6f:9e:c6:eb,3274.4814281000004,45134,149
1108,00:f4:6f:9e:c6:eb,3274.501733099,45135,149
