,sa,timedifference,sequence no,length
516,18:83:31:9b:75:ad,1907.849468202,25049,157
517,18:83:31:9b:75:ad,1907.913610742,25052,157
518,18:83:31:9b:75:ad,1908.027157213,25057,157
519,18:83:31:9b:75:ad,1908.161483497,25063,157
520,18:83:31:9b:75:ad,1908.296794003,25070,157
521,18:83:31:9b:75:ad,1908.317007758,25071,157
522,18:83:31:9b:75:ad,1913.607136843,28632,159
523,18:83:31:9b:75:ad,1913.627416866,28633,159
524,18:83:31:9b:75:ad,1913.8639430859998,28644,159
525,18:83:31:9b:75:ad,1913.884209307,28645,159
526,18:83:31:9b:75:ad,1914.012862105,28651,159
529,18:83:31:9b:75:ad,1940.7561804480001,28678,159
530,18:83:31:9b:75:ad,1940.796402809,28679,159
531,18:83:31:9b:75:ad,1941.0869553750001,28686,159
532,18:83:31:9b:75:ad,1941.126646289,28687,159
533,18:83:31:9b:75:ad,1941.2527388,28690,159
534,18:83:31:9b:75:ad,1941.5013434109999,28696,159
540,18:83:31:9b:75:ad,1945.533942293,28728,157
541,18:83:31:9b:75:ad,1945.553862915,28729,157
542,18:83:31:9b:75:ad,1945.668901182,28734,157
543,18:83:31:9b:75:ad,1945.6891207300002,28735,157
546,18:83:31:9b:75:ad,1945.847966847,28742,157
547,18:83:31:9b:75:ad,1945.8681790580001,28743,157
548,18:83:31:9b:75:ad,1945.959170859,28747,157
551,18:83:31:9b:75:ad,1946.073612478,28752,157
552,18:83:31:9b:75:ad,1946.094170688,28753,157
553,18:83:31:9b:75:ad,1946.1348266559999,28755,157
589,18:83:31:9b:75:ad,2352.2441511119996,32742,159
590,18:83:31:9b:75:ad,2352.3501804959997,32747,159
595,18:83:31:9b:75:ad,2364.7437006819996,32778,159
596,18:83:31:9b:75:ad,2364.7618588309997,32779,159
597,18:83:31:9b:75:ad,2365.218064745,32790,159
605,18:83:31:9b:75:ad,2369.389327427,32822,157
606,18:83:31:9b:75:ad,2369.4089843419997,32823,157
607,18:83:31:9b:75:ad,2369.474628057,32827,157
608,18:83:31:9b:75:ad,2369.5857542,32832,157
609,18:83:31:9b:75:ad,2369.608445261,32833,157
610,18:83:31:9b:75:ad,2369.765012365,32838,157
611,18:83:31:9b:75:ad,2369.8364294969997,32841,157
612,18:83:31:9b:75:ad,2369.9917533899998,32848,157
613,18:83:31:9b:75:ad,2370.1698106719996,32856,157
