,sa,timedifference,sequence no,length
23,84:2e:27:6b:53:df,0.0,0,158
24,84:2e:27:6b:53:df,0.03655289499999981,5,158
25,84:2e:27:6b:53:df,0.03786910200000193,6,158
26,84:2e:27:6b:53:df,0.03938984999999917,7,158
27,84:2e:27:6b:53:df,0.04080762099999902,8,158
28,84:2e:27:6b:53:df,0.05670550800000029,9,158
29,84:2e:27:6b:53:df,0.05812663200000401,10,158
30,84:2e:27:6b:53:df,0.05962248800000225,11,158
31,84:2e:27:6b:53:df,0.06122451899999959,12,158
32,84:2e:27:6b:53:df,0.1203719400000054,21,158
33,84:2e:27:6b:53:df,0.2894357520000028,53,158
34,84:2e:27:6b:53:df,0.2908091959999979,54,158
35,84:2e:27:6b:53:df,0.292451008999997,55,158
36,84:2e:27:6b:53:df,0.29422620100000074,56,158
37,84:2e:27:6b:53:df,0.3125546889999953,57,158
38,84:2e:27:6b:53:df,0.3142886150000024,58,158
39,84:2e:27:6b:53:df,0.31595259499999884,59,158
40,84:2e:27:6b:53:df,0.31767904899999877,60,158
44,84:2e:27:6b:53:df,6.696525260000001,179,158
45,84:2e:27:6b:53:df,6.697892584000002,180,158
46,84:2e:27:6b:53:df,6.699378207000002,181,158
47,84:2e:27:6b:53:df,6.700820538999999,182,158
48,84:2e:27:6b:53:df,6.718116717000001,183,158
49,84:2e:27:6b:53:df,6.719540832,184,158
50,84:2e:27:6b:53:df,6.720974615000003,185,158
51,84:2e:27:6b:53:df,6.722427758000002,186,158
52,84:2e:27:6b:53:df,7.049780272,230,158
53,84:2e:27:6b:53:df,7.051185825000005,231,158
54,84:2e:27:6b:53:df,7.052607625,232,158
55,84:2e:27:6b:53:df,7.053864178000005,233,158
56,84:2e:27:6b:53:df,7.069341864000002,234,158
57,84:2e:27:6b:53:df,7.070760427000003,235,158
58,84:2e:27:6b:53:df,7.072152553000002,236,158
59,84:2e:27:6b:53:df,7.073504005999993,237,158
94,84:2e:27:6b:53:df,338.53412770500006,4143,158
95,84:2e:27:6b:53:df,338.55620338100005,4148,158
96,84:2e:27:6b:53:df,338.61965859500003,4159,158
97,84:2e:27:6b:53:df,338.621336213,4160,158
98,84:2e:27:6b:53:df,338.636957023,4161,158
99,84:2e:27:6b:53:df,338.638429104,4162,158
100,84:2e:27:6b:53:df,338.639973918,4163,158
101,84:2e:27:6b:53:df,338.641640649,4164,158
102,84:2e:27:6b:53:df,338.658908963,4165,158
117,84:2e:27:6b:53:df,346.43692080200003,4257,158
118,84:2e:27:6b:53:df,346.438249803,4258,158
119,84:2e:27:6b:53:df,346.439667483,4259,158
120,84:2e:27:6b:53:df,346.441019136,4260,158
121,84:2e:27:6b:53:df,346.705741117,4296,158
122,84:2e:27:6b:53:df,347.007759592,4337,158
131,84:2e:27:6b:53:df,418.68256084399997,4707,158
