,sa,timedifference,sequence no,length
8,94:d7:71:fc:67:c9,0.0,0,166
9,94:d7:71:fc:67:c9,0.04742090199999893,1,166
10,94:d7:71:fc:67:c9,0.7203689059999974,15,166
11,94:d7:71:fc:67:c9,3.0948262649999982,34,166
12,94:d7:71:fc:67:c9,5.508111449999998,52,166
13,94:d7:71:fc:67:c9,5.960028682000001,69,166
14,94:d7:71:fc:67:c9,5.986442846999999,70,166
48,94:d7:71:fc:67:c9,40.17238895,246,166
49,94:d7:71:fc:67:c9,40.201996689,247,166
50,94:d7:71:fc:67:c9,45.573569616,319,166
51,94:d7:71:fc:67:c9,45.948685998,333,166
52,94:d7:71:fc:67:c9,46.026101889,336,166
53,94:d7:71:fc:67:c9,51.860732406999986,428,166
54,94:d7:71:fc:67:c9,51.888127103,429,166
55,94:d7:71:fc:67:c9,52.335152375999996,446,166
56,94:d7:71:fc:67:c9,52.36245225799999,447,166
65,94:d7:71:fc:67:c9,342.92045803499997,904,166
66,94:d7:71:fc:67:c9,342.96787886600004,905,166
67,94:d7:71:fc:67:c9,347.381536105,942,166
73,94:d7:71:fc:67:c9,379.207712064,1137,166
74,94:d7:71:fc:67:c9,379.2349948610001,1138,166
75,94:d7:71:fc:67:c9,384.51869497300004,1206,166
76,94:d7:71:fc:67:c9,384.545968383,1207,166
77,94:d7:71:fc:67:c9,384.99292419700004,1224,166
78,94:d7:71:fc:67:c9,385.01928857700005,1225,166
82,94:d7:71:fc:67:c9,399.52036414200006,1324,166
83,94:d7:71:fc:67:c9,399.996431328,1342,166
84,94:d7:71:fc:67:c9,400.02383939,1343,166
