,sa,timedifference,sequence no,length
928,ac:36:13:5b:00:45,3833.642329348,53220,159
933,ac:36:13:5b:00:45,3844.2123226350004,53256,159
934,ac:36:13:5b:00:45,3844.252649943,53257,159
935,ac:36:13:5b:00:45,3844.7083877130003,53268,159
951,ac:36:13:5b:00:45,3848.6399319280004,53297,157
952,ac:36:13:5b:00:45,3848.6592356310002,53298,157
954,ac:36:13:5b:00:45,3849.0876038230003,53318,157
955,ac:36:13:5b:00:45,3849.151232305,53321,157
956,ac:36:13:5b:00:45,3849.2663920870004,53326,157
957,ac:36:13:5b:00:45,3849.286662553,53327,157
1012,ac:36:13:5b:00:45,4083.969166716,57316,159
1013,ac:36:13:5b:00:45,4083.98938871,57317,159
1027,ac:36:13:5b:00:45,4117.811725315,57398,157
1028,ac:36:13:5b:00:45,4118.401948185,57423,157
1029,ac:36:13:5b:00:45,4118.4211527649995,57424,157
