,sa,timedifference,sequence no,length
1703,f8:e6:1a:f1:d6:49,4301.506458214,75049,159
1704,f8:e6:1a:f1:d6:49,4301.507782724,75050,159
1705,f8:e6:1a:f1:d6:49,4301.509268305,75051,159
1706,f8:e6:1a:f1:d6:49,4301.629752838,75059,159
1707,f8:e6:1a:f1:d6:49,4301.631044672,75060,159
1708,f8:e6:1a:f1:d6:49,4301.64443795,75061,159
1709,f8:e6:1a:f1:d6:49,4301.645755468,75062,159
1710,f8:e6:1a:f1:d6:49,4301.7666163799995,75069,159
1711,f8:e6:1a:f1:d6:49,4301.767906851001,75070,159
1712,f8:e6:1a:f1:d6:49,4301.787950306,75071,159
1713,f8:e6:1a:f1:d6:49,4301.911309839,75080,159
1714,f8:e6:1a:f1:d6:49,4301.931738143,75082,159
1716,f8:e6:1a:f1:d6:49,4302.171911685,75098,159
1717,f8:e6:1a:f1:d6:49,4302.173157718,75099,159
1719,f8:e6:1a:f1:d6:49,4302.198186158001,75101,159
1721,f8:e6:1a:f1:d6:49,4302.319177912,75109,159
1727,f8:e6:1a:f1:d6:49,4410.714861194,75397,159
1728,f8:e6:1a:f1:d6:49,4410.716073399,75398,159
1729,f8:e6:1a:f1:d6:49,4410.856832615,75407,159
1730,f8:e6:1a:f1:d6:49,4410.87674167,75409,159
1731,f8:e6:1a:f1:d6:49,4410.878036711,75410,159
1732,f8:e6:1a:f1:d6:49,4410.999011125,75417,159
1733,f8:e6:1a:f1:d6:49,4411.018989886,75419,159
1734,f8:e6:1a:f1:d6:49,4411.020316746,75420,159
1735,f8:e6:1a:f1:d6:49,4411.045193866,75422,159
1736,f8:e6:1a:f1:d6:49,4411.156069337,75427,159
1737,f8:e6:1a:f1:d6:49,4411.157412289,75428,159
1738,f8:e6:1a:f1:d6:49,4411.162078528,75429,159
1739,f8:e6:1a:f1:d6:49,4411.1633758749995,75430,159
1740,f8:e6:1a:f1:d6:49,4411.293694318,75437,159
1741,f8:e6:1a:f1:d6:49,4411.295010263,75438,159
1742,f8:e6:1a:f1:d6:49,4411.305138514,75439,159
1743,f8:e6:1a:f1:d6:49,4411.3064362919995,75440,159
1744,f8:e6:1a:f1:d6:49,4411.429538806,75447,159
1787,f8:e6:1a:f1:d6:49,4540.149233211,79157,159
1788,f8:e6:1a:f1:d6:49,4540.150552769,79158,159
1789,f8:e6:1a:f1:d6:49,4540.170212277,79160,159
1792,f8:e6:1a:f1:d6:49,4540.458461868,79174,159
1793,f8:e6:1a:f1:d6:49,4540.584540297,79181,159
1794,f8:e6:1a:f1:d6:49,4540.585852804,79182,159
1795,f8:e6:1a:f1:d6:49,4540.6833918130005,79187,159
1800,f8:e6:1a:f1:d6:49,4641.866022717,79496,159
1801,f8:e6:1a:f1:d6:49,4641.979917546,79503,159
1802,f8:e6:1a:f1:d6:49,4641.992350546,79506,159
1803,f8:e6:1a:f1:d6:49,4642.007061884,79508,159
1804,f8:e6:1a:f1:d6:49,4642.227700779999,79517,159
1805,f8:e6:1a:f1:d6:49,4642.228998244,79518,159
1806,f8:e6:1a:f1:d6:49,4642.249158409,79520,159
1807,f8:e6:1a:f1:d6:49,4642.293409851,79525,159
1808,f8:e6:1a:f1:d6:49,4642.3709112060005,79529,159
1809,f8:e6:1a:f1:d6:49,4642.419616448,79533,159
1810,f8:e6:1a:f1:d6:49,4642.512040586,79539,159
1811,f8:e6:1a:f1:d6:49,4642.532869799,79541,159
1812,f8:e6:1a:f1:d6:49,4642.580085756,79547,159
1813,f8:e6:1a:f1:d6:49,4642.677578637,79552,159
1814,f8:e6:1a:f1:d6:49,4642.678896417,79553,159
1821,f8:e6:1a:f1:d6:49,4710.849116722,79744,159
1822,f8:e6:1a:f1:d6:49,4710.866210186,79747,159
1823,f8:e6:1a:f1:d6:49,4710.9953763349995,79757,159
1824,f8:e6:1a:f1:d6:49,4711.136587462,79767,159
1825,f8:e6:1a:f1:d6:49,4711.137856265,79768,159
1826,f8:e6:1a:f1:d6:49,4711.152813047,79769,159
1827,f8:e6:1a:f1:d6:49,4711.1541799,79770,159
1828,f8:e6:1a:f1:d6:49,4711.2604484369995,79773,159
1829,f8:e6:1a:f1:d6:49,4711.261838405,79774,159
1830,f8:e6:1a:f1:d6:49,4711.263372913,79775,159
1831,f8:e6:1a:f1:d6:49,4711.26470719,79776,159
1832,f8:e6:1a:f1:d6:49,4711.399896939,79779,159
1833,f8:e6:1a:f1:d6:49,4711.401326722,79780,159
1834,f8:e6:1a:f1:d6:49,4711.4027940569995,79781,159
1835,f8:e6:1a:f1:d6:49,4711.536990698,79787,159
