wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
e0:d0:83:b4:1c:b1,3.303982370,2916,,130
00:f4:6f:9e:c6:eb,4.365256574,11,,149
00:f4:6f:9e:c6:eb,4.385383492,12,,149
00:f4:6f:9e:c6:eb,4.626229283,23,,149
00:f4:6f:9e:c6:eb,4.646446900,24,,149
00:f4:6f:9e:c6:eb,8.749558282,73,,149
00:f4:6f:9e:c6:eb,8.769780856,74,,149
00:f4:6f:9e:c6:eb,9.103805632,89,,149
00:f4:6f:9e:c6:eb,9.123539562,90,,149
94:d7:71:fc:67:c9,18.579767782,1188,,166
94:d7:71:fc:67:c9,18.627188684,1189,,166
94:d7:71:fc:67:c9,19.300136688,1203,,166
94:d7:71:fc:67:c9,21.674594047,1222,carlynne,174
94:d7:71:fc:67:c9,24.087879232,1240,,166
94:d7:71:fc:67:c9,24.539796464,1257,,166
94:d7:71:fc:67:c9,24.566210629,1258,,166
18:83:31:9b:75:ad,29.404260418,61,,159
18:83:31:9b:75:ad,29.444055545,62,,159
18:83:31:9b:75:ad,34.070283494,111,,157
18:83:31:9b:75:ad,34.090776123,112,,157
18:83:31:9b:75:ad,34.205941227,118,,157
ac:36:13:5b:00:45,37.599720724,53,,159
ac:36:13:5b:00:45,37.640036594,54,,159
ac:36:13:5b:00:45,38.097159739,65,,159
ac:36:13:5b:00:45,42.091019820,94,,157
ac:36:13:5b:00:45,42.226864289,100,,157
ac:36:13:5b:00:45,42.247090687,101,,157
ac:36:13:5b:00:45,42.381854650,107,,157
ac:36:13:5b:00:45,42.669770255,120,,157
ac:36:13:5b:00:45,42.689439992,121,,157
ac:36:13:5b:00:45,42.711898848,122,,157
ac:36:13:5b:00:45,42.732026563,123,,157
ac:36:13:5b:00:45,42.805192028,126,,157
84:2e:27:6b:53:df,48.600697147,22,U+zone_5G,167
84:2e:27:6b:53:df,48.602032236,23,5G_U+zone,167
84:2e:27:6b:53:df,48.725587070,45,U+zone,164
84:2e:27:6b:53:df,48.727091942,46,U+zone_5G,167
84:2e:27:6b:53:df,48.728681916,47,5G_U+zone,167
84:2e:27:6b:53:df,48.730211290,48,,158
84:2e:27:6b:53:df,49.021028935,99,5G_U+zone,167
3c:a0:67:85:86:1b,53.963579895,486,,66
3c:a0:67:85:86:1b,54.241802895,493,,66
84:2e:27:6b:53:df,56.912983264,201,5G_U+zone,167
84:2e:27:6b:53:df,57.237284809,247,U+zone,164
84:2e:27:6b:53:df,57.238594806,248,U+zone_5G,167
84:2e:27:6b:53:df,57.240012642,249,5G_U+zone,167
84:2e:27:6b:53:df,57.243591260,250,,158
84:2e:27:6b:53:df,57.257797213,251,U+zone,164
84:2e:27:6b:53:df,57.259193780,252,U+zone_5G,167
84:2e:27:6b:53:df,57.260591399,253,5G_U+zone,167
84:2e:27:6b:53:df,57.261915323,254,,158
94:d7:71:fc:67:c9,58.752156732,1434,,166
94:d7:71:fc:67:c9,58.781764471,1435,,166
94:d7:71:fc:67:c9,64.153337398,1507,,166
94:d7:71:fc:67:c9,64.528453780,1521,,166
94:d7:71:fc:67:c9,64.605869671,1524,,166
52:df:3e:bf:ce:38,65.629288234,385,,94
52:df:3e:bf:ce:38,65.678143273,387,,94
52:df:3e:bf:ce:38,65.726361412,389,,94
52:df:3e:bf:ce:38,65.823559568,393,,94
52:df:3e:bf:ce:38,65.871791924,395,,94
94:d7:71:fc:67:c9,70.440500189,1616,,166
94:d7:71:fc:67:c9,70.467894885,1617,,166
94:d7:71:fc:67:c9,70.914920158,1634,,166
