wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
e0:d0:83:b4:1c:b1,3.30398237,2916,NaN,130
00:f4:6f:9e:c6:eb,4.365256574,4107,NaN,149
00:f4:6f:9e:c6:eb,4.385383492,4108,NaN,149
00:f4:6f:9e:c6:eb,4.626229283,4119,NaN,149
00:f4:6f:9e:c6:eb,4.6464469,4120,NaN,149
00:f4:6f:9e:c6:eb,8.749558282,4169,NaN,149
00:f4:6f:9e:c6:eb,8.769780856,4170,NaN,149
00:f4:6f:9e:c6:eb,9.103805632,4185,NaN,149
00:f4:6f:9e:c6:eb,9.123539562000001,4186,NaN,149
94:d7:71:fc:67:c9,18.579767782,5284,NaN,166
94:d7:71:fc:67:c9,18.627188684,5285,NaN,166
94:d7:71:fc:67:c9,19.300136688,5299,NaN,166
94:d7:71:fc:67:c9,21.674594047,5318,carlynne,166
94:d7:71:fc:67:c9,24.087879232,5336,NaN,166
94:d7:71:fc:67:c9,24.539796464000002,5353,NaN,166
94:d7:71:fc:67:c9,24.566210629,5354,NaN,166
18:83:31:9b:75:ad,29.404260418000003,8253,NaN,159
18:83:31:9b:75:ad,29.444055545,8254,NaN,159
18:83:31:9b:75:ad,34.070283494,8303,NaN,157
18:83:31:9b:75:ad,34.090776123000005,8304,NaN,157
18:83:31:9b:75:ad,34.205941227,8310,NaN,157
ac:36:13:5b:00:45,37.599720724,12341,NaN,159
ac:36:13:5b:00:45,37.640036594,12342,NaN,159
ac:36:13:5b:00:45,38.097159739,12353,NaN,159
ac:36:13:5b:00:45,42.09101982,12382,NaN,157
ac:36:13:5b:00:45,42.226864289,12388,NaN,157
ac:36:13:5b:00:45,42.247090687,12389,NaN,157
ac:36:13:5b:00:45,42.38185465,12395,NaN,157
ac:36:13:5b:00:45,42.669770255,12408,NaN,157
ac:36:13:5b:00:45,42.689439992,12409,NaN,157
ac:36:13:5b:00:45,42.711898848000004,12410,NaN,157
ac:36:13:5b:00:45,42.732026563000005,12411,NaN,157
ac:36:13:5b:00:45,42.805192028,12414,NaN,157
84:2e:27:6b:53:df,48.600697147,16406,U+zone_5G,158
84:2e:27:6b:53:df,48.60203223600001,16407,5G_U+zone,158
84:2e:27:6b:53:df,48.72558707,16429,U+zone,158
84:2e:27:6b:53:df,48.727091942,16430,U+zone_5G,158
84:2e:27:6b:53:df,48.728681916000006,16431,5G_U+zone,158
84:2e:27:6b:53:df,48.73021129,16432,NaN,158
84:2e:27:6b:53:df,49.021028935,16483,5G_U+zone,158
3c:a0:67:85:86:1b,53.963579895,16870,NaN,66
3c:a0:67:85:86:1b,54.241802895,16877,NaN,66
84:2e:27:6b:53:df,56.912983264,20681,5G_U+zone,158
84:2e:27:6b:53:df,57.237284808999995,20727,U+zone,158
84:2e:27:6b:53:df,57.238594806,20728,U+zone_5G,158
84:2e:27:6b:53:df,57.240012641999996,20729,5G_U+zone,158
84:2e:27:6b:53:df,57.24359126,20730,NaN,158
84:2e:27:6b:53:df,57.257797213,20731,U+zone,158
84:2e:27:6b:53:df,57.25919378,20732,U+zone_5G,158
84:2e:27:6b:53:df,57.260591399,20733,5G_U+zone,158
84:2e:27:6b:53:df,57.261915323000004,20734,NaN,158
94:d7:71:fc:67:c9,58.752156731999996,21914,NaN,166
94:d7:71:fc:67:c9,58.781764471,21915,NaN,166
94:d7:71:fc:67:c9,64.153337398,21987,NaN,166
94:d7:71:fc:67:c9,64.52845378,22001,NaN,166
94:d7:71:fc:67:c9,64.60586967100001,22004,NaN,166
52:df:3e:bf:ce:38,65.629288234,24961,NaN,94
52:df:3e:bf:ce:38,65.678143273,24963,NaN,94
52:df:3e:bf:ce:38,65.726361412,24965,NaN,94
52:df:3e:bf:ce:38,65.82355956800001,24969,NaN,94
52:df:3e:bf:ce:38,65.871791924,24971,NaN,94
94:d7:71:fc:67:c9,70.44050018899999,26192,NaN,166
94:d7:71:fc:67:c9,70.467894885,26193,NaN,166
94:d7:71:fc:67:c9,70.914920158,26210,NaN,166
94:d7:71:fc:67:c9,70.94222004,26211,NaN,166
3c:a0:67:85:86:1b,114.29163839,29189,NaN,66
3c:a0:67:85:86:1b,114.32326669700001,29190,NaN,66
3c:a0:67:85:86:1b,114.373519982,29191,NaN,66
3e:5a:e9:e7:94:5f,128.672793289,33164,NaN,94
3e:5a:e9:e7:94:5f,128.84265404799999,33171,NaN,94
3e:5a:e9:e7:94:5f,128.91535803600001,33174,NaN,94
f8:e6:1a:f1:d6:49,144.348801026,33411,NaN,156
f8:e6:1a:f1:d6:49,144.35013058799998,33412,T wifi zone_secure,156
f8:e6:1a:f1:d6:49,144.35532991600002,33413,NaN,156
f8:e6:1a:f1:d6:49,145.909768884,33450,T wifi zone_secure,156
f8:e6:1a:f1:d6:49,145.91110515100002,33451,NaN,156
84:2e:27:6b:53:df,176.669103968,33485,U+zone_5G,158
84:2e:27:6b:53:df,176.671940707,33487,NaN,158
84:2e:27:6b:53:df,176.69222262,33491,NaN,158
84:2e:27:6b:53:df,176.70812718599998,33492,U+zone,158
84:2e:27:6b:53:df,176.70951633599998,33493,U+zone_5G,158
3e:5a:e9:e7:94:5f,191.632309142,37271,NaN,94
3e:5a:e9:e7:94:5f,191.681200295,37273,NaN,94
3e:5a:e9:e7:94:5f,191.729348086,37275,NaN,94
3e:5a:e9:e7:94:5f,191.777639864,37277,NaN,94
3e:5a:e9:e7:94:5f,191.826639292,37279,NaN,94
3e:5a:e9:e7:94:5f,191.874765082,37281,NaN,94
