wlan.sa,wlan.ssid,wlan.fixed.timestamp,frame.time_relative,wlan.ds.current_channel,wlan_radio.signal_dbm,wlan_radio.duration
88:36:6c:67:72:ec,carlynne,17714329600382,0.000000000,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714329702782,0.102394478,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714329805182,0.204792915,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714329907582,0.307190831,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330009982,0.409624339,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330112382,0.512021373,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330214782,0.614397383,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330317182,0.716717569,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714330419582,0.819208455,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330521982,0.921550772,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330624382,1.024021947,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330726782,1.126420094,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330829182,1.228739799,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714330931582,1.331216522,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331033982,1.433613275,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331136382,1.536021369,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331238782,1.638420753,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331341182,1.740716578,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714331443582,1.843222619,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331545982,1.945614802,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331648382,2.048022229,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714331750782,2.150421052,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331853182,2.252749092,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714331955582,2.355216914,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714332057982,2.457557938,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714332160382,2.560029499,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714332262782,2.662417347,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714332365182,2.764762010,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714332467582,2.867236227,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714332569982,2.969649187,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714332672382,3.072041340,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714332774782,3.174444673,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714332877182,3.276803058,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714332979582,3.379241377,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714333081982,3.481648845,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714333184382,3.584046229,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714333286782,3.686445463,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714333389182,3.788748460,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714333491582,3.891242132,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714333593982,3.993638990,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714333696382,4.096046884,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714333798782,4.198445647,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714333901182,4.300743206,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714334003582,4.403238582,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714334105982,4.505574068,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714334208382,4.608048561,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714334310782,4.710437712,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714334413182,4.812767034,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714334515582,4.915271230,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714334617982,5.017651079,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714334720382,5.120072294,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714334822782,5.222549884,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714334925182,5.324765178,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335027582,5.427276967,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335129982,5.529671800,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335232382,5.632127881,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335334782,5.734471115,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335437182,5.836767612,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335539582,5.939276218,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335641982,6.041672420,9,-21,2256
88:36:6c:67:72:ec,carlynne,17714335744382,6.144067529,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335846782,6.246470236,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714335949182,6.348768367,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714336051582,6.451273881,9,-19,2256
88:36:6c:67:72:ec,carlynne,17714336153982,6.553623495,9,-21,2256
