Clock skew,RSS,Channel,duration,SSID,MAC Address
2.0514433849810238e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0186535048682158e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0232883983233288e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.060365371200963e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0625852332032586e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0216722859353075e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.056288322652503e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.1130220972731808e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.1060148358539495e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.111558239411366e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.1275740851162975e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0814029100982865e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0467220906928874e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.011539892977146e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0501832936497246e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
0.0006587227954796886,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0321881955735735e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.028828085537012e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.072986861912761e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.051444116082035e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.013307044231997e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0302113479737688e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0541025841573366e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0423657249976937e-05,-89,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.058951760660162e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0560460616787357e-05,-89,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.072372010677233e-05,-89,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0506919459175484e-05,-89,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
2.0260928265037203e-05,-91,1,3096,olleh_WiFi_1B1E,08:5d:dd:60:1b:22
