wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
ba:81:a2:58:17:57,20.021523081,199,,94
ba:81:a2:58:17:57,20.046159776,200,,94
ba:81:a2:58:17:57,20.094280053,202,,94
ba:81:a2:58:17:57,20.191502049,206,,94
ba:81:a2:58:17:57,20.239704481,208,,94
ba:81:a2:58:17:57,83.057457142,210,,94
ba:81:a2:58:17:57,83.082032160,211,,94
ba:81:a2:58:17:57,83.178435014,215,,94
ba:81:a2:58:17:57,83.227433515,217,,94
ba:81:a2:58:17:57,146.133045890,224,,94
ba:81:a2:58:17:57,146.181324769,226,,94
ba:81:a2:58:17:57,146.230343496,228,,94
ba:81:a2:58:17:57,146.278469782,230,,94
f8:e6:1a:f1:d6:49,207.128604305,3452,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,207.129802508,3453,,157
f8:e6:1a:f1:d6:49,207.150452670,3455,,157
f8:e6:1a:f1:d6:49,207.504777644,3477,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,207.506042260,3478,,157
76:79:c5:09:16:13,209.153563288,235,,94
76:79:c5:09:16:13,209.201750200,237,,94
76:79:c5:09:16:13,209.250833808,239,,94
f8:e6:1a:f1:d6:49,227.783658933,3522,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,227.784965145,3523,,157
f8:e6:1a:f1:d6:49,227.804695236,3525,,157
f8:e6:1a:f1:d6:49,227.967514105,3536,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,227.968702390,3537,,157
f8:e6:1a:f1:d6:49,227.988076077,3538,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,227.989411277,3539,,157
f8:e6:1a:f1:d6:49,228.388472717,3566,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,228.389752357,3567,,157
f8:e6:1a:f1:d6:49,228.409162379,3568,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,228.410465008,3569,,157
f8:e6:1a:f1:d6:49,228.574205451,3580,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.773451277,3678,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.774743376,3679,,157
f8:e6:1a:f1:d6:49,231.909367987,3688,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.910664016,3689,,157
f8:e6:1a:f1:d6:49,231.930082692,3690,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.931387161,3691,,157
76:79:c5:09:16:13,272.090516291,246,,94
76:79:c5:09:16:13,272.138845280,248,,94
76:79:c5:09:16:13,272.187771685,250,,94
76:79:c5:09:16:13,272.235938198,252,,94
76:79:c5:09:16:13,335.130372403,257,,94
76:79:c5:09:16:13,335.227670179,261,,94
76:79:c5:09:16:13,335.275794119,263,,94
76:79:c5:09:16:13,398.133530417,268,,94
76:79:c5:09:16:13,398.181835586,270,,94
76:79:c5:09:16:13,398.254527939,273,,94
76:79:c5:09:16:13,398.278974460,274,,94
76:79:c5:09:16:13,461.134488404,279,,94
76:79:c5:09:16:13,461.279905756,285,,94
f6:ce:05:41:01:d7,524.162974837,290,,94
f6:ce:05:41:01:d7,524.211244123,292,,94
f6:ce:05:41:01:d7,524.308308104,296,,94
f8:e6:1a:f1:d6:49,528.190004293,149,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,528.191289868,150,,157
f8:e6:1a:f1:d6:49,528.209714157,151,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,528.211027807,152,,157
f6:ce:05:41:01:d7,587.009825745,297,,94
f6:ce:05:41:01:d7,587.058702915,299,,94
f6:ce:05:41:01:d7,587.106738752,301,,94
f6:ce:05:41:01:d7,587.155050937,303,,94
f6:ce:05:41:01:d7,587.204127884,305,,94
f6:ce:05:41:01:d7,649.997502377,308,,94
f6:ce:05:41:01:d7,650.046438038,310,,94
f6:ce:05:41:01:d7,650.119051930,313,,94
f6:ce:05:41:01:d7,650.142853796,314,,94
f6:ce:05:41:01:d7,650.191854587,316,,94
f6:ce:05:41:01:d7,650.240002268,318,,94
f6:ce:05:41:01:d7,713.036567687,319,,94
f6:ce:05:41:01:d7,713.085512493,321,,94
f6:ce:05:41:01:d7,713.133529427,323,,94
f6:ce:05:41:01:d7,713.181914385,325,,94
f6:ce:05:41:01:d7,713.230941833,327,,94
f6:ce:05:41:01:d7,713.279067562,329,,94
f6:ce:05:41:01:d7,776.057413540,331,,94
f6:ce:05:41:01:d7,776.082053741,332,,94
f6:ce:05:41:01:d7,776.130144677,334,,94
f6:ce:05:41:01:d7,776.275622664,340,,94
f8:e6:1a:f1:d6:49,827.586051874,601,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,827.587311423,602,,157
