wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
ba:81:a2:58:17:57,20.021523080999998,199,NaN,94
ba:81:a2:58:17:57,20.046159776,200,NaN,94
ba:81:a2:58:17:57,20.094280053,202,NaN,94
ba:81:a2:58:17:57,20.191502049,206,NaN,94
ba:81:a2:58:17:57,20.239704481,208,NaN,94
ba:81:a2:58:17:57,83.057457142,210,NaN,94
ba:81:a2:58:17:57,83.08203216,211,NaN,94
ba:81:a2:58:17:57,83.178435014,215,NaN,94
ba:81:a2:58:17:57,83.227433515,217,NaN,94
ba:81:a2:58:17:57,146.13304589,224,NaN,94
ba:81:a2:58:17:57,146.18132476899999,226,NaN,94
ba:81:a2:58:17:57,146.23034349600002,228,NaN,94
ba:81:a2:58:17:57,146.278469782,230,NaN,94
f8:e6:1a:f1:d6:49,207.128604305,3452,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,207.12980250799998,3453,NaN,157
f8:e6:1a:f1:d6:49,207.15045267,3455,NaN,157
f8:e6:1a:f1:d6:49,207.50477764400003,3477,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,207.50604226,3478,NaN,157
76:79:c5:09:16:13,209.153563288,4331,NaN,94
76:79:c5:09:16:13,209.2017502,4333,NaN,94
76:79:c5:09:16:13,209.25083380799998,4335,NaN,94
f8:e6:1a:f1:d6:49,227.783658933,7618,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,227.784965145,7619,NaN,157
f8:e6:1a:f1:d6:49,227.804695236,7621,NaN,157
f8:e6:1a:f1:d6:49,227.967514105,7632,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,227.96870239,7633,NaN,157
f8:e6:1a:f1:d6:49,227.98807607700002,7634,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,227.98941127700002,7635,NaN,157
f8:e6:1a:f1:d6:49,228.388472717,7662,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,228.38975235700002,7663,NaN,157
f8:e6:1a:f1:d6:49,228.409162379,7664,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,228.410465008,7665,NaN,157
f8:e6:1a:f1:d6:49,228.57420545099998,7676,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,231.77345127700002,7774,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,231.77474337599998,7775,NaN,157
f8:e6:1a:f1:d6:49,231.909367987,7784,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,231.910664016,7785,NaN,157
f8:e6:1a:f1:d6:49,231.930082692,7786,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,231.93138716099998,7787,NaN,157
76:79:c5:09:16:13,272.090516291,8438,NaN,94
76:79:c5:09:16:13,272.13884528,8440,NaN,94
76:79:c5:09:16:13,272.187771685,8442,NaN,94
76:79:c5:09:16:13,272.235938198,8444,NaN,94
76:79:c5:09:16:13,335.13037240299997,8449,NaN,94
76:79:c5:09:16:13,335.22767017900003,8453,NaN,94
76:79:c5:09:16:13,335.275794119,8455,NaN,94
76:79:c5:09:16:13,398.133530417,8460,NaN,94
76:79:c5:09:16:13,398.181835586,8462,NaN,94
76:79:c5:09:16:13,398.254527939,8465,NaN,94
76:79:c5:09:16:13,398.27897446,8466,NaN,94
76:79:c5:09:16:13,461.134488404,8471,NaN,94
76:79:c5:09:16:13,461.279905756,8477,NaN,94
f6:ce:05:41:01:d7,524.162974837,8482,NaN,94
f6:ce:05:41:01:d7,524.211244123,8484,NaN,94
f6:ce:05:41:01:d7,524.308308104,8488,NaN,94
f8:e6:1a:f1:d6:49,528.190004293,12437,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,528.191289868,12438,NaN,157
f8:e6:1a:f1:d6:49,528.209714157,12439,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,528.2110278069999,12440,NaN,157
f6:ce:05:41:01:d7,587.009825745,12585,NaN,94
f6:ce:05:41:01:d7,587.058702915,12587,NaN,94
f6:ce:05:41:01:d7,587.106738752,12589,NaN,94
f6:ce:05:41:01:d7,587.1550509369999,12591,NaN,94
f6:ce:05:41:01:d7,587.2041278840001,12593,NaN,94
f6:ce:05:41:01:d7,649.9975023769999,12596,NaN,94
f6:ce:05:41:01:d7,650.046438038,12598,NaN,94
f6:ce:05:41:01:d7,650.11905193,12601,NaN,94
f6:ce:05:41:01:d7,650.1428537959999,12602,NaN,94
f6:ce:05:41:01:d7,650.191854587,12604,NaN,94
f6:ce:05:41:01:d7,650.240002268,12606,NaN,94
f6:ce:05:41:01:d7,713.036567687,12607,NaN,94
f6:ce:05:41:01:d7,713.085512493,12609,NaN,94
f6:ce:05:41:01:d7,713.133529427,12611,NaN,94
f6:ce:05:41:01:d7,713.181914385,12613,NaN,94
f6:ce:05:41:01:d7,713.230941833,12615,NaN,94
f6:ce:05:41:01:d7,713.279067562,12617,NaN,94
f6:ce:05:41:01:d7,776.05741354,12619,NaN,94
f6:ce:05:41:01:d7,776.0820537410001,12620,NaN,94
f6:ce:05:41:01:d7,776.130144677,12622,NaN,94
f6:ce:05:41:01:d7,776.2756226639999,12628,NaN,94
f8:e6:1a:f1:d6:49,827.586051874,12889,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,827.5873114230001,12890,NaN,157
f8:e6:1a:f1:d6:49,827.6056861489999,12891,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,827.962866288,12915,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,828.188197705,12933,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,828.1894147910001,12934,NaN,157
f8:e6:1a:f1:d6:49,828.20897058,12935,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,828.2102732339999,12936,NaN,157
f8:e6:1a:f1:d6:49,831.1028432039999,13016,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,831.113797548,13017,NaN,157
f8:e6:1a:f1:d6:49,831.123255466,13018,T wifi zone_secure,157
f8:e6:1a:f1:d6:49,831.12452561,13019,NaN,157
