Clock skew,RSS,Channel,duration,SSID,Mac address
1.2490802157180465e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2339791714941543e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2251303125234105e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2431728433153159e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2200611215868466e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2205398340609498e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2855547446482599e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.3097914820098811e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.3097700466261512e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.3064721176984608e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2977098816723992e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2944336323194566e-05,-21,9,2256,carlynne,88:36:6c:67:72:ec
1.2428360120368122e-05,-33,9,2256,carlynne,88:36:6c:67:72:ec
1.2489446073710613e-05,-31,9,2256,carlynne,88:36:6c:67:72:ec
1.2544653594249403e-05,-31,9,2256,carlynne,88:36:6c:67:72:ec
1.2465873915822825e-05,-33,9,2256,carlynne,88:36:6c:67:72:ec
1.2309865416278153e-05,-33,9,2256,carlynne,88:36:6c:67:72:ec
1.2442648253408449e-05,-41,9,2256,carlynne,88:36:6c:67:72:ec
1.2144245836520487e-05,-41,9,2256,carlynne,88:36:6c:67:72:ec
1.2466119811522364e-05,-47,9,2256,carlynne,88:36:6c:67:72:ec
1.2632671149357815e-05,-31,9,2256,carlynne,88:36:6c:67:72:ec
1.2207143871240283e-05,-37,9,2256,carlynne,88:36:6c:67:72:ec
1.2446992360381148e-05,-37,9,2256,carlynne,88:36:6c:67:72:ec
1.2408431242899318e-05,-35,9,2256,carlynne,88:36:6c:67:72:ec
1.2008640581898026e-05,-31,9,2256,carlynne,88:36:6c:67:72:ec
1.2312044744641831e-05,-31,9,2256,carlynne,88:36:6c:67:72:ec
1.2527107374104473e-05,-29,9,2256,carlynne,88:36:6c:67:72:ec
1.244608000369661e-05,-31,9,2256,carlynne,88:36:6c:67:72:ec
1.2423114467334926e-05,-27,9,2256,carlynne,88:36:6c:67:72:ec
1.2403036150966524e-05,-27,9,2256,carlynne,88:36:6c:67:72:ec
