Clock skew,RSS,Channel,duration,SSID,Mac address
1.4218738352008504e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1581958853405598e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1124827507030413e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1066563272540175e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1482361580951317e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.108157528274951e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1143669026788994e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1144268212494287e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1346569831213846e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.1411424444945294e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.097282413893242e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.0978988927163389e-05,-87,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.108255871260267e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
1.3949171835638463e-05,-91,11,3080,KT_GiGA_2G_Wave2_6CCF,88:3c:1c:b4:6c:d3
