,sa,timedifference,sequence no,length
42308,04:cf:8c:89:18:47,81608.366769212,1487616,97
42309,04:cf:8c:89:18:47,81608.367615316,1487617,97
42340,04:cf:8c:89:18:47,81638.615450601,1489184,97
42341,04:cf:8c:89:18:47,81638.61628912001,1489185,97
42344,04:cf:8c:89:18:47,81645.446811133,1489534,97
42345,04:cf:8c:89:18:47,81645.44803102201,1489535,97
42359,04:cf:8c:89:18:47,81657.150443366,1490144,97
42360,04:cf:8c:89:18:47,81657.15125969,1490145,97
42376,04:cf:8c:89:18:47,81689.23039447,1491804,97
42380,04:cf:8c:89:18:47,81698.01923637801,1492259,97
42389,04:cf:8c:89:18:47,81707.80115160301,1492764,97
42421,04:cf:8c:89:18:47,81763.43118812301,1495643,97
42469,04:cf:8c:89:18:47,81856.18347860301,1496346,97
42476,04:cf:8c:89:18:47,81874.727091034,1497308,97
42483,04:cf:8c:89:18:47,81893.296921712,1498267,97
42484,04:cf:8c:89:18:47,81893.297757672,1498268,97
42489,04:cf:8c:89:18:47,81911.84952539,1499229,97
42518,04:cf:8c:89:18:47,81967.45687478801,1502107,97
42520,04:cf:8c:89:18:47,81976.230538959,1502562,97
42525,04:cf:8c:89:18:47,81986.001925697,1503066,97
42526,04:cf:8c:89:18:47,81986.004696802,1503069,97
42528,04:cf:8c:89:18:47,81988.080307687,1503172,97
42529,04:cf:8c:89:18:47,81988.08115332901,1503173,97
42543,04:cf:8c:89:18:47,82004.532675282,1504026,97
42552,04:cf:8c:89:18:47,82028.00936631,1505238,97
42565,04:cf:8c:89:18:47,82041.657701581,1505949,97
42571,04:cf:8c:89:18:47,82050.427797157,1506404,97
42590,04:cf:8c:89:18:47,82109.347448029,1509446,97
42602,04:cf:8c:89:18:47,82127.885538543,1510406,97
42603,04:cf:8c:89:18:47,82127.890825616,1510408,97
42604,04:cf:8c:89:18:47,82127.891655935,1510409,97
42606,04:cf:8c:89:18:47,82134.43955657801,1510746,97
42610,04:cf:8c:89:18:47,82146.420622663,1511366,97
42611,04:cf:8c:89:18:47,82152.99110338901,1511706,97
42615,04:cf:8c:89:18:47,82155.068622235,1511811,97
42616,04:cf:8c:89:18:47,82155.069467245,1511812,97
42644,04:cf:8c:89:18:47,82183.53724369101,1513286,97
