delta seq no,length,label
51.784187,97,0
51.78339,97,0
51.76611,97,0
51.8042,97,0
51.81626,97,0
51.839054,97,0
51.791706,97,0
51.8011,97,0
51.800186,97,0
51.821327,97,0
51.80872,97,0
51.826614,97,0
51.82198,97,0
41.068905,97,0
51.803318,97,0
51.82074,97,0
51.81504,97,0
51.8278,97,0
51.818176,97,0
45.28358,97,0
51.854618,97,0
51.81333,97,0
51.816742,97,0
51.78769,97,0
51.81245,97,0
51.821735,97,0
51.809055,97,0
51.808678,97,0
51.784767,97,0
40.87861,97,0
51.802044,97,0
42.487114,97,0
36.19293,97,0
51.7324,97,0
51.74475,97,0
51.72029,97,0
44.35086,97,0
50.94117,97,0
51.68119,97,0
51.726345,97,0
51.728485,97,0
51.71237,97,0
51.759125,97,0
51.716606,97,0
51.7468,97,0
27.907307,97,0
51.717625,97,0
51.745125,97,0
51.73828,97,0
41.092308,97,0
51.748188,97,0
42.756023,97,0
51.782513,97,0
51.763092,97,0
51.7985,97,0
51.73193,97,0
51.7663,97,0
51.774395,97,0
51.778336,97,0
