,sa,timedifference,sequence no,length
40388,0c:1c:20:0c:38:84,78077.316420958,21371,223
40389,0c:1c:20:0c:38:84,78077.318398988,21372,223
40392,0c:1c:20:0c:38:84,78078.881331867,21388,223
40461,0c:1c:20:0c:38:84,78237.300123291,21415,223
40462,0c:1c:20:0c:38:84,78237.30202031901,21416,223
40463,0c:1c:20:0c:38:84,78237.498732244,21418,223
40549,0c:1c:20:0c:38:84,78397.323099999,21459,223
40550,0c:1c:20:0c:38:84,78397.519752778,21461,223
40551,0c:1c:20:0c:38:84,78397.521729297,21462,223
40552,0c:1c:20:0c:38:84,78397.716754554,21463,223
40553,0c:1c:20:0c:38:84,78397.71908576101,21464,223
40639,0c:1c:20:0c:38:84,78556.811410519,21496,223
40640,0c:1c:20:0c:38:84,78557.89986900901,21509,223
40641,0c:1c:20:0c:38:84,78557.9019717,21510,223
