,sa,timedifference,sequence no,length
38192,1c:f2:9a:69:bf:0b,75000.885035851,93393,128
38193,1c:f2:9a:69:bf:0b,75000.901805322,93394,128
38194,1c:f2:9a:69:bf:0b,75000.943594534,93396,128
38195,1c:f2:9a:69:bf:0b,75000.944719699,93397,128
38251,1c:f2:9a:69:bf:0b,75072.9485778,93488,128
38253,1c:f2:9a:69:bf:0b,75073.348362341,93512,128
38254,1c:f2:9a:69:bf:0b,75073.365591622,93513,128
38395,1c:f2:9a:69:bf:0b,75288.49891138,93703,128
38433,1c:f2:9a:69:bf:0b,75360.37573255,93790,128
38434,1c:f2:9a:69:bf:0b,75360.387972568,93791,128
38535,1c:f2:9a:69:bf:0b,75505.09582514,94022,128
38536,1c:f2:9a:69:bf:0b,75505.138197233,94025,128
38593,1c:f2:9a:69:bf:0b,75577.11585875599,94119,128
38594,1c:f2:9a:69:bf:0b,75577.13473422,94120,128
38595,1c:f2:9a:69:bf:0b,75577.527490016,94140,128
38596,1c:f2:9a:69:bf:0b,75577.537703518,94141,128
