,sa,timedifference,sequence no,length
38600,2c:33:7a:2b:79:3a,75600.864587395,942615,97
38601,2c:33:7a:2b:79:3a,75600.86579000401,942616,97
38602,2c:33:7a:2b:79:3a,75600.866756703,942617,97
38603,2c:33:7a:2b:79:3a,75600.867685193,942618,97
38607,2c:33:7a:2b:79:3a,75607.04515464901,942684,97
38608,2c:33:7a:2b:79:3a,75607.04608178901,942685,97
38609,2c:33:7a:2b:79:3a,75607.04707436501,942686,97
38618,2c:33:7a:2b:79:3a,75614.04298957801,942793,97
38619,2c:33:7a:2b:79:3a,75614.044704536,942794,97
38620,2c:33:7a:2b:79:3a,75614.046136349,942795,97
38621,2c:33:7a:2b:79:3a,75621.040162132,942903,97
38622,2c:33:7a:2b:79:3a,75621.04134611301,942904,97
38623,2c:33:7a:2b:79:3a,75621.043345901,942906,97
38626,2c:33:7a:2b:79:3a,75626.40171495,942929,97
38627,2c:33:7a:2b:79:3a,75626.402874114,942930,97
38628,2c:33:7a:2b:79:3a,75626.40385097101,942931,97
38629,2c:33:7a:2b:79:3a,75626.404784665,942932,97
38630,2c:33:7a:2b:79:3a,75626.520748943,942937,97
38635,2c:33:7a:2b:79:3a,75633.404127826,943041,97
38636,2c:33:7a:2b:79:3a,75633.41049538401,943042,97
38642,2c:33:7a:2b:79:3a,75646.586903211,943219,97
38650,2c:33:7a:2b:79:3a,75665.23603488701,943427,97
38651,2c:33:7a:2b:79:3a,75665.23724148801,943428,97
38652,2c:33:7a:2b:79:3a,75665.238215642,943429,97
38653,2c:33:7a:2b:79:3a,75665.23923783,943430,97
38654,2c:33:7a:2b:79:3a,75666.059203297,943470,97
38655,2c:33:7a:2b:79:3a,75666.060247914,943471,97
38656,2c:33:7a:2b:79:3a,75666.061280483,943472,97
38660,2c:33:7a:2b:79:3a,75671.41863329,943497,97
38661,2c:33:7a:2b:79:3a,75677.59672771601,943563,97
38662,2c:33:7a:2b:79:3a,75677.59997582801,943566,97
38673,2c:33:7a:2b:79:3a,75685.415573738,943713,1548
38674,2c:33:7a:2b:79:3a,75685.418674999,943715,97
38675,2c:33:7a:2b:79:3a,75685.419843525,943716,97
38676,2c:33:7a:2b:79:3a,75690.774700123,943741,97
38677,2c:33:7a:2b:79:3a,75690.775909977,943742,97
38678,2c:33:7a:2b:79:3a,75691.593746273,943783,97
38679,2c:33:7a:2b:79:3a,75691.594915162,943784,97
38680,2c:33:7a:2b:79:3a,75691.595871783,943785,97
38681,2c:33:7a:2b:79:3a,75691.59687114501,943786,97
38687,2c:33:7a:2b:79:3a,75696.954850408,943809,97
38688,2c:33:7a:2b:79:3a,75696.956147901,943810,97
38689,2c:33:7a:2b:79:3a,75696.957055509,943811,97
38690,2c:33:7a:2b:79:3a,75696.958077824,943812,97
38693,2c:33:7a:2b:79:3a,75703.369425696,943889,97
38695,2c:33:7a:2b:79:3a,75710.250207602,943993,97
38696,2c:33:7a:2b:79:3a,75710.25178400001,943994,97
38697,2c:33:7a:2b:79:3a,75710.25274926501,943995,97
38702,2c:33:7a:2b:79:3a,75729.61236746701,944241,97
38703,2c:33:7a:2b:79:3a,75729.728405197,944246,97
38704,2c:33:7a:2b:79:3a,75729.729424085,944247,97
38706,2c:33:7a:2b:79:3a,75736.61002750801,944349,97
38707,2c:33:7a:2b:79:3a,75736.61122791,944350,97
38708,2c:33:7a:2b:79:3a,75741.97006408,944375,97
38714,2c:33:7a:2b:79:3a,75748.96930719301,944486,97
38715,2c:33:7a:2b:79:3a,75748.97028417801,944487,97
38716,2c:33:7a:2b:79:3a,75749.091287029,944494,97
38725,2c:33:7a:2b:79:3a,75755.96783173401,944596,97
38726,2c:33:7a:2b:79:3a,75755.968838773,944597,97
38731,2c:33:7a:2b:79:3a,75768.329624321,944733,97
38732,2c:33:7a:2b:79:3a,75768.330581703,944734,97
38740,2c:33:7a:2b:79:3a,75773.805160267,944763,97
38741,2c:33:7a:2b:79:3a,75773.806910561,944764,97
38742,2c:33:7a:2b:79:3a,75773.807958535,944765,97
38743,2c:33:7a:2b:79:3a,75773.92309539701,944770,97
38744,2c:33:7a:2b:79:3a,75773.924065483,944771,97
38745,2c:33:7a:2b:79:3a,75780.80499899201,944874,97
38746,2c:33:7a:2b:79:3a,75780.806168081,944875,97
38747,2c:33:7a:2b:79:3a,75793.167452233,945009,97
38748,2c:33:7a:2b:79:3a,75793.17012000401,945011,97
38756,2c:33:7a:2b:79:3a,75800.16743116401,945122,97
38761,2c:33:7a:2b:79:3a,75807.049809927,945225,97
38770,2c:33:7a:2b:79:3a,75819.522159033,945365,97
38771,2c:33:7a:2b:79:3a,75819.52337161901,945366,97
38772,2c:33:7a:2b:79:3a,75819.524273642,945367,97
38774,2c:33:7a:2b:79:3a,75826.52020753801,945475,97
38779,2c:33:7a:2b:79:3a,75838.887290436,945611,97
38780,2c:33:7a:2b:79:3a,75838.888479003,945612,97
38781,2c:33:7a:2b:79:3a,75838.889391282,945613,97
38782,2c:33:7a:2b:79:3a,75838.89028794001,945614,97
38785,2c:33:7a:2b:79:3a,75844.359217431,945643,97
38786,2c:33:7a:2b:79:3a,75844.3604016,945644,97
38787,2c:33:7a:2b:79:3a,75844.361321078,945645,97
38788,2c:33:7a:2b:79:3a,75844.36227891101,945646,97
38789,2c:33:7a:2b:79:3a,75857.656488766,945829,97
38790,2c:33:7a:2b:79:3a,75858.36100642801,945863,97
38791,2c:33:7a:2b:79:3a,75858.365796379,945866,97
38792,2c:33:7a:2b:79:3a,75858.479971433,945872,97
38799,2c:33:7a:2b:79:3a,75863.721644249,945890,97
38800,2c:33:7a:2b:79:3a,75863.722562835,945891,97
38801,2c:33:7a:2b:79:3a,75863.72351916201,945892,97
38804,2c:33:7a:2b:79:3a,75870.71834896201,945999,97
38814,2c:33:7a:2b:79:3a,75883.90053370301,946177,97
38815,2c:33:7a:2b:79:3a,75883.901714956,946178,97
38816,2c:33:7a:2b:79:3a,75883.90457031001,946180,97
38817,2c:33:7a:2b:79:3a,75889.964828222,946241,97
38818,2c:33:7a:2b:79:3a,75889.965789619,946242,97
38819,2c:33:7a:2b:79:3a,75890.07880009,946245,97
38820,2c:33:7a:2b:79:3a,75890.08255837,946248,97
38825,2c:33:7a:2b:79:3a,75903.371946353,946430,97
38826,2c:33:7a:2b:79:3a,75903.372859024,946431,97
38827,2c:33:7a:2b:79:3a,75903.37385949,946432,97
38830,2c:33:7a:2b:79:3a,75908.732360737,946455,97
38831,2c:33:7a:2b:79:3a,75908.73356632201,946456,97
38832,2c:33:7a:2b:79:3a,75908.73463069,946457,97
38833,2c:33:7a:2b:79:3a,75908.735542473,946458,97
38834,2c:33:7a:2b:79:3a,75909.436598776,946493,97
38835,2c:33:7a:2b:79:3a,75909.437539417,946494,97
38838,2c:33:7a:2b:79:3a,75914.91171634001,946523,97
38839,2c:33:7a:2b:79:3a,75914.91293601501,946524,97
38840,2c:33:7a:2b:79:3a,75914.91392303,946525,97
38841,2c:33:7a:2b:79:3a,75914.915663333,946526,97
38849,2c:33:7a:2b:79:3a,75921.794181426,946628,97
38850,2c:33:7a:2b:79:3a,75922.72857262401,946676,97
38851,2c:33:7a:2b:79:3a,75922.73058241901,946678,97
38860,2c:33:7a:2b:79:3a,75928.911370338,946744,97
38861,2c:33:7a:2b:79:3a,75928.915515739,946746,97
38862,2c:33:7a:2b:79:3a,75929.02496079,946749,97
