delta seq no,length,label
12.484227,97,3
12.444261,97,3
12.446104,97,3
12.4641695,97,3
12.430955,97,3
12.538523,97,3
12.549539,97,3
12.463249,97,3
12.444066,97,3
12.452073,97,3
12.41917,97,3
12.420712,97,3
12.471308,97,3
12.541864,97,3
12.431242,97,3
12.531956,97,3
12.458583,97,3
12.445797,97,3
12.44073,97,3
12.481817,97,3
12.428984,97,3
12.454449,97,3
12.540675,97,3
12.420228,97,3
12.453836,97,3
12.540192,97,3
12.4162855,97,3
12.421375,97,3
12.465763,97,3
12.450784,97,3
12.418133,97,3
12.444229,97,3
12.556621,97,3
12.425803,97,3
12.469367,97,3
12.546406,97,3
12.483584,97,3
12.545057,97,3
12.545896,97,3
12.417054,97,3
12.441527,97,3
12.537345,97,3
12.490954,97,3
12.4879465,97,3
12.488942,97,3
12.523349,97,3
12.506724,97,3
12.543178,97,3
12.422462,97,3
12.484917,97,3
12.472171,97,3
12.426559,97,3
12.544806,97,3
12.478383,97,3
12.420387,97,3
12.460044,97,3
12.5456085,97,3
12.566098,97,3
12.473045,97,3
12.4455595,97,3
12.463899,97,3
12.472275,97,3
12.557143,97,3
12.483419,97,3
12.539096,97,3
12.47856,97,3
12.416898,97,3
12.499429,97,3
12.45581,97,3
12.427412,97,3
12.478236,97,3
12.445156,97,3
12.335945,97,3
12.527213,97,3
12.403345,97,3
12.400461,97,3
12.492974,97,3
12.4867,97,3
12.493532,97,3
12.459522,97,3
12.519445,97,3
12.456898,97,3
12.365516,97,3
12.470281,97,3
12.397675,97,3
12.516276,97,3
12.463823,97,3
12.4181385,97,3
12.537949,97,3
12.519279,97,3
12.474411,97,3
12.410303,97,3
12.520957,97,3
12.476612,97,3
12.485069,97,3
12.486627,97,3
12.46539,97,3
12.436088,97,3
12.470681,97,3
12.423013,97,3
12.427677,97,3
12.434973,97,3
12.513378,97,3
12.415459,97,3
12.471297,97,3
12.454133,97,3
12.482702,97,3
12.558351,97,3
12.431545,97,3
12.538743,97,3
12.472302,97,3
12.476202,97,3
12.307542,97,3
12.411048,97,3
12.4411745,97,3
12.487549,97,3
12.502206,97,3
12.494509,97,3
12.472547,97,3
12.429856,97,3
12.524634,97,3
12.488136,97,3
12.558884,97,3
12.48143,97,3
12.413208,97,3
12.443381,97,3
12.522879,97,3
12.479277,97,3
12.41347,97,3
12.515877,97,3
12.482072,97,3
12.375903,97,3
12.557603,97,3
12.4473505,97,3
12.455889,97,3
12.534192,97,3
12.159009,97,3
12.358276,97,3
12.333078,97,3
12.474837,97,3
12.3837385,97,3
12.479155,97,3
12.359703,97,3
12.288463,97,3
