,sa,timedifference,sequence no,length
30010,34:08:04:9b:31:79,24000.06919664899,17314,273
30011,34:08:04:9b:31:79,24000.07157152899,17315,273
30012,34:08:04:9b:31:79,24000.075990578,17316,273
30043,34:08:04:9b:31:79,24058.425853013992,17344,273
30044,34:08:04:9b:31:79,24058.428182887,17345,273
30045,34:08:04:9b:31:79,24058.430534655992,17346,273
30046,34:08:04:9b:31:79,24060.677133520003,17371,273
30083,34:08:04:9b:31:79,24118.426877004997,17402,273
30084,34:08:04:9b:31:79,24120.818916689997,17431,273
30085,34:08:04:9b:31:79,24120.821189387003,17432,273
30086,34:08:04:9b:31:79,24120.836180247003,17433,273
30112,34:08:04:9b:31:79,24179.321444691,17481,273
30113,34:08:04:9b:31:79,24179.32375215899,17482,273
30114,34:08:04:9b:31:79,24179.345526647005,17483,273
30137,34:08:04:9b:31:79,24237.525827339996,17522,273
30138,34:08:04:9b:31:79,24237.532346915992,17523,273
30139,34:08:04:9b:31:79,24237.67268159399,17525,273
30140,34:08:04:9b:31:79,24237.684863423994,17527,273
30143,34:08:04:9b:31:79,24239.317769430992,17546,273
30144,34:08:04:9b:31:79,24239.338307735998,17548,273
30169,34:08:04:9b:31:79,24297.68131988,17589,273
30170,34:08:04:9b:31:79,24297.683564610998,17590,273
30174,34:08:04:9b:31:79,24299.772259605998,17612,273
30177,34:08:04:9b:31:79,24299.918370838,17615,273
30178,34:08:04:9b:31:79,24299.920617027994,17616,273
30197,34:08:04:9b:31:79,24358.273335107995,17652,273
30198,34:08:04:9b:31:79,24358.275627162002,17653,273
30199,34:08:04:9b:31:79,24360.524306114996,17679,273
30200,34:08:04:9b:31:79,24360.528907742002,17681,273
30269,34:08:04:9b:31:79,24539.023634252,17845,273
30270,34:08:04:9b:31:79,24539.025853182997,17846,273
30271,34:08:04:9b:31:79,24539.782328975998,17856,273
