delta seq no,length,label
0.8840368,273,4
0.7618994,273,4
0.78005695,273,4
0.75561786,273,4
1.0140069,273,4
1.0119107,273,4
1.0914611,273,4
1.1326472,273,4
1.1001227,273,4
0.9372118,273,4
1.0688689,273,4
1.3321301,273,4
1.1328415,273,4
0.98175097,273,4
1.0026329,273,4
1.0063759,273,4
0.92095274,273,4
0.90453184,273,4
1.0169868,273,4
1.1341376,273,4
1.1408329,273,4
1.0989954,273,4
1.0691403,273,4
1.0926408,273,4
1.1083868,273,4
1.1148833,273,4
1.0159831,273,4
1.0182084,273,4
0.96866417,273,4
1.0683482,273,4
1.1159797,273,4
0.98972833,273,4
1.0138316,273,4
1.1733314,273,4
1.0368868,273,4
1.0466154,273,4
1.0311226,273,4
1.0120375,273,4
1.0346286,273,4
0.9562678,273,4
1.0786442,273,4
0.98749524,273,4
1.0797368,273,4
0.9434669,273,4
0.9841661,273,4
0.90229565,273,4
1.0090389,273,4
1.0125196,273,4
0.941985,273,4
0.95329475,273,4
0.9633251,273,4
0.92150754,273,4
0.88025826,273,4
0.8747039,273,4
0.84759945,273,4
0.83194286,273,4
0.91148406,273,4
0.8772323,273,4
0.831307,273,4
0.8282489,273,4
0.8600838,273,4
0.849139,273,4
0.87970924,273,4
0.7978109,273,4
0.84525687,273,4
0.84293926,273,4
0.83721757,273,4
0.82581294,273,4
0.9842439,273,4
0.7988661,273,4
0.84755933,273,4
0.8643794,273,4
0.8764697,273,4
0.79868996,273,4
0.83132184,273,4
0.90741074,273,4
0.86700034,273,4
0.8051707,273,4
0.86160016,273,4
0.9745026,273,4
0.8536264,273,4
0.8428097,273,4
0.90620613,273,4
0.884308,273,4
0.8866299,273,4
0.8335096,273,4
0.89672625,273,4
0.8970173,273,4
0.8440834,273,4
0.86834216,273,4
0.82834816,273,4
0.85558987,273,4
0.8822417,273,4
0.85881,273,4
0.86508423,273,4
0.91313505,273,4
0.9011437,273,4
0.8934661,273,4
1.0562524,273,4
0.8380058,273,4
0.8834266,273,4
0.88141584,273,4
0.8146276,273,4
0.8321298,273,4
0.8723082,273,4
0.8112018,273,4
0.9498221,273,4
0.9095502,273,4
0.9290941,273,4
0.9974888,273,4
0.94463605,273,4
0.91339815,273,4
0.9537116,273,4
1.0164019,273,4
1.0169302,273,4
1.4147683,273,4
1.3578556,273,4
1.4841119,273,4
1.1371714,273,4
0.9428456,273,4
0.9593572,273,4
0.96513736,273,4
1.0074171,273,4
1.0241523,273,4
1.0771593,273,4
0.9033992,273,4
1.109782,273,4
1.1684529,273,4
0.9798868,273,4
1.1319975,273,4
0.96933734,273,4
0.9878152,273,4
