,sa,timedifference,sequence no,length
4785,58:65:e6:70:38:be,8004.216107710001,4614,124
4786,58:65:e6:70:38:be,8004.481339642,4637,124
4787,58:65:e6:70:38:be,8004.536224673,4643,124
4888,58:65:e6:70:38:be,8199.114209906,4684,124
4889,58:65:e6:70:38:be,8199.122827094001,4685,124
4890,58:65:e6:70:38:be,8199.134288854,4686,124
4891,58:65:e6:70:38:be,8199.151038905,4687,124
4892,58:65:e6:70:38:be,8199.170826545,4689,124
4893,58:65:e6:70:38:be,8199.181665533,4690,124
4894,58:65:e6:70:38:be,8199.19145177,4691,124
4895,58:65:e6:70:38:be,8199.240872053,4696,124
4990,58:65:e6:70:38:be,8359.312599511,4783,124
4991,58:65:e6:70:38:be,8359.355291224001,4787,124
4992,58:65:e6:70:38:be,8359.598148161,4806,124
