delta seq no,length,label
0.6755379,124,5
0.6744811,124,5
0.6623881,124,5
0.56666976,124,5
0.7374114,124,5
0.6963847,124,5
0.44751734,124,5
0.64603245,124,5
0.3929445,124,5
0.55760163,124,5
0.6116762,124,5
0.48444915,124,5
0.688221,124,5
0.5072797,124,5
0.57342196,124,5
0.6496306,124,5
0.61203957,124,5
0.5339736,124,5
0.64058167,124,5
0.5987481,124,5
0.56329113,124,5
0.55561244,124,5
0.5602194,124,5
0.6034294,124,5
0.59120417,124,5
0.6191745,124,5
0.49866012,124,5
0.58487487,124,5
0.64333606,124,5
0.62842274,124,5
0.60553616,124,5
0.59029824,124,5
0.58986795,124,5
0.6537171,124,5
0.60857636,124,5
0.57969576,124,5
0.57458705,124,5
0.4947889,124,5
0.5522521,124,5
0.63973194,124,5
0.5599258,124,5
0.66664314,124,5
0.5863466,124,5
0.5987024,124,5
0.5774146,124,5
0.76912266,124,5
0.72017866,124,5
0.53618,124,5
0.68720627,124,5
0.6674791,124,5
0.45274404,124,5
0.525523,124,5
0.6251999,124,5
0.80784756,124,5
0.5524244,124,5
0.66999906,124,5
