,sa,timedifference,sequence no,length
42728,60:36:dd:5e:d0:9e,82278.405410269,36985,94
42729,60:36:dd:5e:d0:9e,82278.40626353498,36986,94
42824,60:36:dd:5e:d0:9e,82408.223705652,37049,94
42870,60:36:dd:5e:d0:9e,82472.826006758,37070,94
42871,60:36:dd:5e:d0:9e,82472.831294309,37072,94
42872,60:36:dd:5e:d0:9e,82472.99187537699,37083,94
42873,60:36:dd:5e:d0:9e,82473.128985739,37085,94
42929,60:36:dd:5e:d0:9e,82537.542830803,37107,94
42930,60:36:dd:5e:d0:9e,82537.543793538,37108,94
42931,60:36:dd:5e:d0:9e,82537.54466822899,37109,94
42964,60:36:dd:5e:d0:9e,82602.46982888499,37156,94
42992,60:36:dd:5e:d0:9e,82667.039187637,37177,94
42993,60:36:dd:5e:d0:9e,82667.040005084,37178,94
43063,60:36:dd:5e:d0:9e,82787.77181743999,37208,94
43064,60:36:dd:5e:d0:9e,82787.772694766,37209,94
