,sa,timedifference,sequence no,length
61941,7c:38:ad:28:05:48,85241.446386376,5235,130
61942,7c:38:ad:28:05:48,85241.44794883301,5236,130
61943,7c:38:ad:28:05:48,85241.44948597,5237,130
61944,7c:38:ad:28:05:48,85241.48263385301,5238,130
61945,7c:38:ad:28:05:48,85241.48417030199,5239,130
61946,7c:38:ad:28:05:48,85241.48569623,5240,130
62009,7c:38:ad:28:05:48,85373.638878196,5302,130
62010,7c:38:ad:28:05:48,85373.641147559,5303,130
62011,7c:38:ad:28:05:48,85373.677302754,5305,130
62012,7c:38:ad:28:05:48,85373.711883691,5307,130
62013,7c:38:ad:28:05:48,85373.720530685,5308,130
62089,7c:38:ad:28:05:48,85501.67389137301,5352,130
62090,7c:38:ad:28:05:48,85501.67549105,5353,130
62091,7c:38:ad:28:05:48,85501.67697788001,5354,130
62199,7c:38:ad:28:05:48,85689.044763564,5469,130
62200,7c:38:ad:28:05:48,85689.302265128,5478,130
62205,7c:38:ad:28:05:48,85697.020574732,5489,130
62206,7c:38:ad:28:05:48,85697.048125945,5490,130
62207,7c:38:ad:28:05:48,85697.049925545,5491,130
62208,7c:38:ad:28:05:48,85697.62891160802,5527,130
62209,7c:38:ad:28:05:48,85697.63010326301,5528,130
62210,7c:38:ad:28:05:48,85697.88398237599,5544,130
62211,7c:38:ad:28:05:48,85697.88737002699,5545,130
62212,7c:38:ad:28:05:48,85697.89310554,5546,130
62213,7c:38:ad:28:05:48,85698.07517606199,5559,130
62214,7c:38:ad:28:05:48,85698.080109278,5561,130
62221,7c:38:ad:28:05:48,85713.091502906,5580,130
62222,7c:38:ad:28:05:48,85713.09941358301,5581,130
62223,7c:38:ad:28:05:48,85713.100619525,5582,130
62224,7c:38:ad:28:05:48,85713.12995721301,5583,130
62225,7c:38:ad:28:05:48,85713.131543222,5584,130
62226,7c:38:ad:28:05:48,85713.13326666699,5585,130
62227,7c:38:ad:28:05:48,85713.16774558599,5587,130
62228,7c:38:ad:28:05:48,85713.169265424,5588,130
62229,7c:38:ad:28:05:48,85713.20794680301,5590,130
62230,7c:38:ad:28:05:48,85713.5122505,5614,130
62231,7c:38:ad:28:05:48,85713.513439324,5615,130
62232,7c:38:ad:28:05:48,85713.54492220699,5617,130
62233,7c:38:ad:28:05:48,85713.549505056,5618,130
62234,7c:38:ad:28:05:48,85713.602459114,5620,130
62235,7c:38:ad:28:05:48,85713.61411134001,5621,130
62236,7c:38:ad:28:05:48,85713.62051283,5622,130
62237,7c:38:ad:28:05:48,85713.62577993801,5623,130
62238,7c:38:ad:28:05:48,85713.627509539,5624,130
62254,7c:38:ad:28:05:48,85750.23961546,5671,130
62255,7c:38:ad:28:05:48,85750.244099591,5672,130
62256,7c:38:ad:28:05:48,85750.270568176,5673,130
62257,7c:38:ad:28:05:48,85750.696240688,5705,130
62258,7c:38:ad:28:05:48,85750.76444846301,5709,130
62259,7c:38:ad:28:05:48,85750.767549783,5711,130
62260,7c:38:ad:28:05:48,85750.800656465,5712,130
62261,7c:38:ad:28:05:48,85750.802227995,5713,130
