,sa,timedifference,sequence no,length
25154,80:2b:f9:f1:5e:e9,49869.236536831006,79798,140
25155,80:2b:f9:f1:5e:e9,49869.249560601005,79799,140
25156,80:2b:f9:f1:5e:e9,49869.467783699,79816,140
25157,80:2b:f9:f1:5e:e9,49869.477887356,79817,140
25185,80:2b:f9:f1:5e:e9,49899.5294619,79864,140
25186,80:2b:f9:f1:5e:e9,49899.543288937995,79865,140
25207,80:2b:f9:f1:5e:e9,49959.222992122,79952,140
25210,80:2b:f9:f1:5e:e9,49959.498048909,79972,140
25226,80:2b:f9:f1:5e:e9,50019.21864883,80062,140
25227,80:2b:f9:f1:5e:e9,50019.300546057995,80068,140
25228,80:2b:f9:f1:5e:e9,50019.310661644995,80069,140
25264,80:2b:f9:f1:5e:e9,50079.057010436,80173,140
25265,80:2b:f9:f1:5e:e9,50079.177024046,80182,140
25266,80:2b:f9:f1:5e:e9,50079.241979521,80187,140
25284,80:2b:f9:f1:5e:e9,50109.265237611005,80241,140
25295,80:2b:f9:f1:5e:e9,50139.028768166005,80268,140
25296,80:2b:f9:f1:5e:e9,50139.0388952,80269,140
25336,80:2b:f9:f1:5e:e9,50228.973263709,80420,140
25337,80:2b:f9:f1:5e:e9,50228.98558234,80421,140
25338,80:2b:f9:f1:5e:e9,50228.996057849996,80422,140
25339,80:2b:f9:f1:5e:e9,50229.21855247799,80438,140
25347,80:2b:f9:f1:5e:e9,50259.26565210799,80498,140
25348,80:2b:f9:f1:5e:e9,50259.275835264,80499,140
25349,80:2b:f9:f1:5e:e9,50259.289258565,80500,140
25373,80:2b:f9:f1:5e:e9,50318.96737268999,80605,140
25374,80:2b:f9:f1:5e:e9,50318.980395217,80606,140
25375,80:2b:f9:f1:5e:e9,50319.244326723,80625,140
25376,80:2b:f9:f1:5e:e9,50319.25393385,80626,140
25397,80:2b:f9:f1:5e:e9,50379.046779221004,80723,140
