delta seq no,length,label
1.618509,140,8
1.6048901,140,8
1.5160842,140,8
1.5321802,140,8
1.5637233,140,8
1.5516868,140,8
1.5719388,140,8
1.5633361,140,8
1.542321,140,8
1.576932,140,8
1.6419066,140,8
1.622395,140,8
1.5849543,140,8
1.5439185,140,8
1.6276225,140,8
1.6110886,140,8
1.5931551,140,8
1.5799103,140,8
1.6452705,140,8
1.6840281,140,8
1.6478528,140,8
1.6456573,140,8
1.6499872,140,8
1.5187781,140,8
1.6355467,140,8
1.6172178,140,8
1.660888,140,8
1.5964236,140,8
1.666652,140,8
1.7107329,140,8
1.6459274,140,8
1.6554023,140,8
1.7117155,140,8
2.127218,140,8
1.6813753,140,8
1.6225497,140,8
1.6289357,140,8
1.6437719,140,8
1.6071937,140,8
1.5714201,140,8
1.5791192,140,8
1.6189097,140,8
1.5700102,140,8
1.4998003,140,8
1.5871122,140,8
1.610184,140,8
1.5826793,140,8
1.5627359,140,8
1.6209128,140,8
1.6114038,140,8
1.6383134,140,8
1.5797899,140,8
1.5217035,140,8
1.647392,140,8
1.6118706,140,8
1.7289755,140,8
1.6478279,140,8
1.6335434,140,8
1.5612917,140,8
1.6361227,140,8
1.6329519,140,8
1.6079266,140,8
1.6580528,140,8
1.6258144,140,8
1.6922349,140,8
1.5772493,140,8
1.6893665,140,8
1.6031545,140,8
1.7360101,140,8
1.6388694,140,8
1.594315,140,8
1.6425256,140,8
1.6455384,140,8
1.6497899,140,8
1.6472441,140,8
1.5687228,140,8
1.6287622,140,8
1.6422508,140,8
1.5564069,140,8
1.633584,140,8
1.6002039,140,8
1.6968858,140,8
1.784549,140,8
1.7935363,140,8
1.7866491,140,8
1.6720781,140,8
1.6300864,140,8
1.5968963,140,8
1.5940695,140,8
1.6456922,140,8
1.6373271,140,8
1.5468003,140,8
1.7797785,140,8
1.5905769,140,8
1.6412094,140,8
1.6600353,140,8
1.5892602,140,8
1.6011871,140,8
1.7028235,140,8
1.6324866,140,8
1.6965401,140,8
1.6092052,140,8
1.6316947,140,8
1.5251492,140,8
1.6203114,140,8
1.605119,140,8
1.8148059,140,8
1.6363778,140,8
1.6338358,140,8
1.7330029,140,8
1.7192409,140,8
1.7475816,140,8
1.7032404,140,8
1.684526,140,8
1.7376577,140,8
1.7023629,140,8
1.78074,140,8
1.759404,140,8
1.7911632,140,8
1.6397891,140,8
1.7152268,140,8
1.6988382,140,8
1.7150129,140,8
1.4900448,140,8
1.5032656,140,8
1.5084774,140,8
1.5206535,140,8
1.5278364,140,8
1.494952,140,8
1.5513927,140,8
1.5581427,140,8
1.469954,140,8
1.5355897,140,8
1.547839,140,8
1.4710494,140,8
1.5076138,140,8
1.5314922,140,8
1.5085487,140,8
1.53994,140,8
1.484272,140,8
1.5270059,140,8
1.9551815,140,8
1.4530481,140,8
1.4923832,140,8
