,sa,timedifference,sequence no,length
8443,88:36:6c:f9:ca:76,12664.902224003,9354,273
8444,88:36:6c:f9:ca:76,12664.904531785,9355,273
8445,88:36:6c:f9:ca:76,12665.193758917001,9361,273
8478,88:36:6c:f9:ca:76,12724.050237566,9379,273
8479,88:36:6c:f9:ca:76,12725.053957602002,9400,273
8527,88:36:6c:f9:ca:76,12784.177844153,9426,273
8528,88:36:6c:f9:ca:76,12784.180240802001,9427,273
8560,88:36:6c:f9:ca:76,12843.318256613,9454,273
8562,88:36:6c:f9:ca:76,12844.329061739001,9475,273
8599,88:36:6c:f9:ca:76,12903.45925794,9497,273
8600,88:36:6c:f9:ca:76,12903.461456853,9498,273
8601,88:36:6c:f9:ca:76,12903.466574079,9499,273
8602,88:36:6c:f9:ca:76,12904.471251077002,9519,273
8670,88:36:6c:f9:ca:76,13023.894853515,9594,273
8716,88:36:6c:f9:ca:76,13085.344565077,9667,273
