delta seq no,length,label
0.8299611,104,9
0.76117617,104,9
0.774745,104,9
0.7740492,104,9
0.7959924,104,9
0.65899366,104,9
0.7798426,104,9
0.79447174,104,9
0.73773855,104,9
0.74345696,104,9
0.6974079,104,9
0.6938001,104,9
0.800553,104,9
0.7245208,104,9
0.6906442,104,9
0.7267923,104,9
0.74228835,104,9
0.7351991,104,9
0.7454764,104,9
0.6653564,104,9
0.76073563,104,9
0.6678578,104,9
0.77090836,104,9
0.74144524,104,9
0.7386315,104,9
0.76026374,104,9
0.77869695,104,9
0.78297263,104,9
0.7592855,104,9
0.7785913,104,9
0.71072936,104,9
0.7880303,104,9
0.7708359,104,9
0.7265749,104,9
0.7851783,104,9
0.74832195,104,9
0.79456013,104,9
0.80011547,104,9
0.71643,104,9
0.7756237,104,9
0.7123689,104,9
0.7433593,104,9
0.73615247,104,9
0.76124275,104,9
0.7555823,104,9
0.79465747,104,9
0.7434183,104,9
0.7275827,104,9
0.76087725,104,9
0.74271137,104,9
0.804932,104,9
0.6610115,104,9
0.7423269,104,9
0.6943985,104,9
0.7281279,104,9
0.6776347,104,9
0.6876317,104,9
0.6959773,104,9
0.7586019,104,9
0.72611666,104,9
0.696243,104,9
0.7452004,104,9
0.6448713,104,9
0.7779461,104,9
0.8037186,104,9
0.77883244,104,9
0.7516717,104,9
0.7437496,104,9
0.7667992,104,9
0.77104235,104,9
0.6786506,104,9
0.67130035,104,9
0.79019755,104,9
0.7256358,104,9
0.67779845,104,9
0.7129389,104,9
0.7466757,104,9
0.6959332,104,9
0.76720524,104,9
0.69498193,104,9
0.6963792,104,9
0.76287615,104,9
0.7457417,104,9
0.71806705,104,9
0.68500316,104,9
0.7587456,104,9
0.7462819,104,9
0.78909594,104,9
0.7833976,104,9
0.68409216,104,9
0.74809706,104,9
0.7650395,104,9
0.72405607,104,9
0.76294196,104,9
0.8047344,104,9
0.6895238,104,9
0.78063834,104,9
0.76691973,104,9
0.78649396,104,9
0.754565,104,9
0.67911917,104,9
0.75931567,104,9
0.71805525,104,9
0.74990267,104,9
0.72782266,104,9
0.80017775,104,9
0.74197483,104,9
0.7780685,104,9
0.709673,104,9
0.75765294,104,9
0.7248381,104,9
0.76196456,104,9
0.7503565,104,9
0.778122,104,9
0.73404473,104,9
0.7794851,104,9
0.67811775,104,9
0.8124645,104,9
0.72283024,104,9
0.75483257,104,9
0.7889687,104,9
0.77855664,104,9
0.7627257,104,9
0.74911886,104,9
0.72359407,104,9
0.8352301,104,9
0.6799605,104,9
0.6706352,104,9
0.7940086,104,9
0.68566173,104,9
0.6835453,104,9
0.79751176,104,9
0.76542383,104,9
0.72376263,104,9
0.8086698,104,9
0.7906619,104,9
0.7367489,104,9
0.76207685,104,9
0.78926736,104,9
0.791181,104,9
0.77600884,104,9
0.7570212,104,9
