,sa,timedifference,sequence no,length
24011,a8:2b:b9:b9:de:42,47015.600215233004,26037,197
24012,a8:2b:b9:b9:de:42,47015.620563602,26038,197
24032,a8:2b:b9:b9:de:42,47081.876114618004,26073,197
24033,a8:2b:b9:b9:de:42,47081.876615336,26074,197
24034,a8:2b:b9:b9:de:42,47081.877064876,26075,197
24035,a8:2b:b9:b9:de:42,47081.877575608,26076,197
24036,a8:2b:b9:b9:de:42,47081.878052194,26077,200
24037,a8:2b:b9:b9:de:42,47081.896926796,26078,197
24038,a8:2b:b9:b9:de:42,47081.89742234,26079,197
24039,a8:2b:b9:b9:de:42,47081.89790009201,26080,197
24040,a8:2b:b9:b9:de:42,47081.898399936,26081,197
24041,a8:2b:b9:b9:de:42,47081.898863718,26082,200
24042,a8:2b:b9:b9:de:42,47082.26201025701,26133,197
24043,a8:2b:b9:b9:de:42,47082.26248808,26134,197
24044,a8:2b:b9:b9:de:42,47082.262986363,26135,197
24045,a8:2b:b9:b9:de:42,47082.26348637899,26136,197
24046,a8:2b:b9:b9:de:42,47082.263949249,26137,200
24047,a8:2b:b9:b9:de:42,47082.283383255,26138,197
24048,a8:2b:b9:b9:de:42,47082.283864323,26139,197
24049,a8:2b:b9:b9:de:42,47082.284288765004,26140,197
24050,a8:2b:b9:b9:de:42,47082.284810831,26141,197
24051,a8:2b:b9:b9:de:42,47082.285303262004,26142,200
24052,a8:2b:b9:b9:de:42,47082.585416894,26197,197
24053,a8:2b:b9:b9:de:42,47082.585868255,26198,197
24054,a8:2b:b9:b9:de:42,47082.586339060996,26199,197
24055,a8:2b:b9:b9:de:42,47082.586810119,26200,197
24056,a8:2b:b9:b9:de:42,47082.58728782,26201,200
