delta seq no,length,label
2.2523139,197,10
3.0868998,197,10
1.2369608,197,10
1.1125867,197,10
0.92284435,197,10
0.797365,197,10
0.5339904,197,10
0.6514008,197,10
1.5757946,197,10
1.0537094,197,10
0.9208595,197,10
1.1698662,197,10
3.1156266,197,10
1.6253918,197,10
1.6853776,197,10
2.711388,197,10
1.1837565,197,10
1.341505,197,10
5.5742745,197,10
1.3396708,197,10
1.9453003,197,10
1.3427552,197,10
2.3918958,197,10
1.1703273,197,10
1.2301227,197,10
1.5765581,197,10
3.7627363,197,10
3.4350502,197,10
1.2176033,197,10
