,sa,timedifference,sequence no,length
36345,ac:fd:ce:b0:da:79,72134.809526756,26067,94
36382,ac:fd:ce:b0:da:79,72158.724153558,26074,94
36383,ac:fd:ce:b0:da:79,72158.724983507,26075,94
36384,ac:fd:ce:b0:da:79,72158.908149725,26086,94
36385,ac:fd:ce:b0:da:79,72158.909036232,26087,94
36386,ac:fd:ce:b0:da:79,72158.936879367,26089,94
36428,ac:fd:ce:b0:da:79,72226.686235183,26112,94
36429,ac:fd:ce:b0:da:79,72226.68722210199,26113,94
36461,ac:fd:ce:b0:da:79,72294.607046256,26157,94
36462,ac:fd:ce:b0:da:79,72294.634838506,26158,94
36463,ac:fd:ce:b0:da:79,72294.635754504,26159,94
36539,ac:fd:ce:b0:da:79,72430.504167933,26237,94
36540,ac:fd:ce:b0:da:79,72430.529762591,26238,94
36541,ac:fd:ce:b0:da:79,72430.556901814,26240,94
36629,ac:fd:ce:b0:da:79,72580.78423174,26323,94
36630,ac:fd:ce:b0:da:79,72581.009281611,26332,94
