delta seq no,length,label
0.5130313,94,12
0.47272757,94,12
0.52362597,94,12
0.58333886,94,12
0.5466725,94,12
0.5078728,94,12
0.45292398,94,12
0.5283452,94,12
0.54990315,94,12
0.36639974,94,12
0.5940496,94,12
0.37666678,94,12
0.55766046,94,12
0.5760491,94,12
0.5990764,94,12
0.5666845,94,12
0.71651536,94,12
0.38479456,94,12
0.92075056,94,12
0.66814375,94,12
0.51870483,94,12
0.6414785,94,12
0.60647583,94,12
0.5886112,94,12
0.42081392,94,12
0.60254246,94,12
0.53079545,94,12
0.511429,94,12
0.68027544,94,12
0.3425178,94,12
0.6694039,94,12
0.44813302,94,12
0.5423663,94,12
0.74218607,94,12
0.5478704,94,12
0.507179,94,12
0.58315116,94,12
0.64508605,94,12
0.5559696,94,12
0.92709786,94,12
0.50776464,94,12
0.62189037,94,12
0.5463937,94,12
0.5554623,94,12
0.3937738,94,12
0.49441624,94,12
0.5036614,94,12
1.0192147,94,12
0.4387677,94,12
0.5635204,94,12
0.48307288,94,12
0.5346346,94,12
0.55937654,94,12
0.5384667,94,12
0.4523396,94,12
2391619000.0,94,12
0.5780996,94,12
0.5703279,94,12
0.5229813,94,12
0.30030182,94,12
0.5405473,94,12
0.5739355,94,12
0.30143186,94,12
0.39472562,94,12
0.55366397,94,12
0.5659268,94,12
0.47442448,94,12
0.37924242,94,12
