,sa,timedifference,sequence no,length
158,f8:e6:1a:f1:d6:49,4820.821721765,9207,157
159,f8:e6:1a:f1:d6:49,4820.823111715999,9208,157
160,f8:e6:1a:f1:d6:49,4821.226754388,9237,157
161,f8:e6:1a:f1:d6:49,4821.228056505999,9238,157
162,f8:e6:1a:f1:d6:49,4821.247435396,9239,157
163,f8:e6:1a:f1:d6:49,4821.248721026,9240,157
164,f8:e6:1a:f1:d6:49,4875.117606439,9407,157
165,f8:e6:1a:f1:d6:49,4875.118967367999,9408,157
166,f8:e6:1a:f1:d6:49,4875.791032691,9455,157
167,f8:e6:1a:f1:d6:49,4875.932838289999,9465,157
168,f8:e6:1a:f1:d6:49,4875.934131106,9466,157
169,f8:e6:1a:f1:d6:49,4875.952514256,9467,157
170,f8:e6:1a:f1:d6:49,4875.953801124,9468,157
171,f8:e6:1a:f1:d6:49,4876.299609777,9493,157
172,f8:e6:1a:f1:d6:49,4876.300898052999,9494,157
173,f8:e6:1a:f1:d6:49,5175.080395252,9949,157
174,f8:e6:1a:f1:d6:49,5175.08168676,9950,157
175,f8:e6:1a:f1:d6:49,5175.101066140999,9951,157
176,f8:e6:1a:f1:d6:49,5175.102364885999,9952,157
