wlan.sa,frame.time_relative,wlan.seq,wlan.ssid,frame.len
f8:e6:1a:f1:d6:49,207.128604305,3452,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,207.129802508,3453,,157
f8:e6:1a:f1:d6:49,207.150452670,3455,,157
f8:e6:1a:f1:d6:49,207.504777644,3477,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,207.506042260,3478,,157
f8:e6:1a:f1:d6:49,227.783658933,3522,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,227.784965145,3523,,157
f8:e6:1a:f1:d6:49,227.804695236,3525,,157
f8:e6:1a:f1:d6:49,227.967514105,3536,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,227.968702390,3537,,157
f8:e6:1a:f1:d6:49,227.988076077,3538,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,227.989411277,3539,,157
f8:e6:1a:f1:d6:49,228.388472717,3566,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,228.389752357,3567,,157
f8:e6:1a:f1:d6:49,228.409162379,3568,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,228.410465008,3569,,157
f8:e6:1a:f1:d6:49,228.574205451,3580,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.773451277,3678,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.774743376,3679,,157
f8:e6:1a:f1:d6:49,231.909367987,3688,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.910664016,3689,,157
f8:e6:1a:f1:d6:49,231.930082692,3690,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,231.931387161,3691,,157
f8:e6:1a:f1:d6:49,528.190004293,149,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,528.191289868,150,,157
f8:e6:1a:f1:d6:49,528.209714157,151,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,528.211027807,152,,157
f8:e6:1a:f1:d6:49,827.586051874,601,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,827.587311423,602,,157
f8:e6:1a:f1:d6:49,827.605686149,603,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,827.962866288,627,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,828.188197705,645,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,828.189414791,646,,157
f8:e6:1a:f1:d6:49,828.208970580,647,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,828.210273234,648,,157
f8:e6:1a:f1:d6:49,831.102843204,728,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,831.113797548,729,,157
f8:e6:1a:f1:d6:49,831.123255466,730,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,831.124525610,731,,157
f8:e6:1a:f1:d6:49,831.520259899,758,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,831.521548611,759,,157
f8:e6:1a:f1:d6:49,831.540323536,760,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,831.541544551,761,,157
f8:e6:1a:f1:d6:49,1131.320790699,1252,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.322146160,1253,,157
f8:e6:1a:f1:d6:49,1131.341887447,1254,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.343164607,1255,,157
f8:e6:1a:f1:d6:49,1131.746880824,1278,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.748179223,1279,,157
f8:e6:1a:f1:d6:49,1131.766484253,1280,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1131.767781374,1281,,157
f8:e6:1a:f1:d6:49,1230.817841538,1433,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1230.819009131,1434,,157
f8:e6:1a:f1:d6:49,1230.959828586,1444,,157
f8:e6:1a:f1:d6:49,1231.100394851,1453,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1231.101782933,1454,,157
f8:e6:1a:f1:d6:49,1231.120465324,1455,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1231.121758231,1456,,157
f8:e6:1a:f1:d6:49,1231.442738504,1479,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1234.387842166,1555,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1234.389108050,1556,,157
f8:e6:1a:f1:d6:49,1234.407837615,1557,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1234.409107258,1558,,157
f8:e6:1a:f1:d6:49,1235.035860642,1603,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.486209482,1691,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.671844289,1702,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.673137275,1703,,157
f8:e6:1a:f1:d6:49,1247.692473672,1704,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1247.693777679,1705,,157
f8:e6:1a:f1:d6:49,1247.769576067,1709,,157
f8:e6:1a:f1:d6:49,1258.306127623,1824,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1258.521666359,1838,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1258.522971263,1839,,157
f8:e6:1a:f1:d6:49,1258.542291207,1840,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1258.727628042,1858,,157
f8:e6:1a:f1:d6:49,1259.005469247,1877,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1259.006678182,1878,,157
f8:e6:1a:f1:d6:49,1427.958607310,2155,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1427.959900131,2156,,157
f8:e6:1a:f1:d6:49,1427.978279407,2157,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1427.979559354,2158,,157
f8:e6:1a:f1:d6:49,1428.098333926,2165,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.099627499,2166,,157
f8:e6:1a:f1:d6:49,1428.118982464,2167,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.120240615,2168,,157
f8:e6:1a:f1:d6:49,1428.360201716,2183,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.361628382,2184,,157
f8:e6:1a:f1:d6:49,1428.541934380,2197,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1428.706137647,2209,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,1732.161518821,2667,,157
f8:e6:1a:f1:d6:49,2028.558535368,3102,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2028.904648684,3129,,157
f8:e6:1a:f1:d6:49,2032.162945667,3232,,157
f8:e6:1a:f1:d6:49,2032.254107584,3237,,157
f8:e6:1a:f1:d6:49,2032.277377843,3239,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2032.278546623,3240,,157
f8:e6:1a:f1:d6:49,2032.439396613,3252,,157
f8:e6:1a:f1:d6:49,2331.880498879,3744,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2331.881804801,3745,,157
f8:e6:1a:f1:d6:49,2331.901494263,3746,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2331.902775107,3747,,157
f8:e6:1a:f1:d6:49,2332.348278482,3778,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2628.284702750,98,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2631.398199782,197,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2631.582181386,211,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2631.583497341,212,,157
f8:e6:1a:f1:d6:49,2631.602075557,213,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2631.603348933,214,,157
f8:e6:1a:f1:d6:49,2957.784071820,749,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2957.785367032,750,,157
f8:e6:1a:f1:d6:49,2957.803853345,751,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,2957.805141456,752,,157
f8:e6:1a:f1:d6:49,3228.192682189,1117,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3228.193919818,1118,,157
f8:e6:1a:f1:d6:49,3228.213136623,1119,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3228.214443898,1120,,157
f8:e6:1a:f1:d6:49,3257.791906719,1270,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3257.793194363,1271,,157
f8:e6:1a:f1:d6:49,3257.812384106,1272,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3257.813671109,1273,,157
f8:e6:1a:f1:d6:49,3828.111955857,2055,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3828.113159072,2056,,157
f8:e6:1a:f1:d6:49,3828.132513054,2057,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3828.133817718,2058,,157
f8:e6:1a:f1:d6:49,3828.531796953,2085,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3828.533090295,2086,,157
f8:e6:1a:f1:d6:49,3828.551370813,2087,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3828.552669478,2088,,157
f8:e6:1a:f1:d6:49,3832.063674963,2208,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3832.064966556,2209,,157
f8:e6:1a:f1:d6:49,3832.084099002,2210,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3832.085303414,2211,,157
f8:e6:1a:f1:d6:49,3865.837909626,2351,T wifi zone_secure,175
f8:e6:1a:f1:d6:49,3865.839205871,2352,,157
f8:e6:1a:f1:d6:49,3865.858754364,2353,T wifi zone_secure,175
