,wlan.sa,wlan.ssid,ts_relative,frame.time_relative,wlan.ds.current_channel,wlan_radio.signal_dbm,wlan_radio.duration
7969,88:36:6c:67:72:ec,carlynne,2340.2496,2340.278777508,1,-45,2256
7970,88:36:6c:67:72:ec,carlynne,2340.352,2340.381147691,1,-45,2256
7971,88:36:6c:67:72:ec,carlynne,2340.4544,2340.483548856,1,-45,2256
7972,88:36:6c:67:72:ec,carlynne,2341.0688,2341.098041625,1,-69,2256
7973,88:36:6c:67:72:ec,carlynne,2341.1712,2341.200367073,1,-71,2256
7974,88:36:6c:67:72:ec,carlynne,2341.2736,2341.302871802,1,-67,2256
7975,88:36:6c:67:72:ec,carlynne,2341.376,2341.405280204,1,-21,2256
7976,88:36:6c:67:72:ec,carlynne,2341.4784,2341.507658942,1,-23,2256
7977,88:36:6c:67:72:ec,carlynne,2342.1952,2342.224479299,1,-21,2256
7978,88:36:6c:67:72:ec,carlynne,2342.4,2342.429281052,1,-63,2256
7979,88:36:6c:67:72:ec,carlynne,2342.5024,2342.531572073,1,-67,2256
7980,88:36:6c:67:72:ec,carlynne,2342.6048,2342.63396979,1,-65,2256
7981,88:36:6c:67:72:ec,carlynne,2342.7072,2342.736478453,1,-25,2256
7982,88:36:6c:67:72:ec,carlynne,2343.0144,2343.043647503,1,-67,2256
7983,88:36:6c:67:72:ec,carlynne,2344.0384,2344.067701865,1,-45,2256
7984,88:36:6c:67:72:ec,carlynne,2344.1408,2344.170106217,1,-47,2256
7985,88:36:6c:67:72:ec,carlynne,2344.7552,2344.784387621,1,-69,2256
7986,88:36:6c:67:72:ec,carlynne,2344.8576,2344.886909931,1,-69,2256
7987,88:36:6c:67:72:ec,carlynne,2344.96,2344.989305824,1,-67,2256
7988,88:36:6c:67:72:ec,carlynne,2345.0624,2345.091706708,1,-21,2256
7989,88:36:6c:67:72:ec,carlynne,2345.1648,2345.1941098370003,1,-21,2256
7990,88:36:6c:67:72:ec,carlynne,2345.2672,2345.296535975,1,-21,2256
7991,88:36:6c:67:72:ec,carlynne,2345.984,2346.013332432,1,-21,2256
7992,88:36:6c:67:72:ec,carlynne,2347.7248,2347.754050169,1,-45,2256
7993,88:36:6c:67:72:ec,carlynne,2347.9296,2347.958835895,1,-65,2256
7994,88:36:6c:67:72:ec,carlynne,2348.032,2348.061393752,1,-65,2256
7995,88:36:6c:67:72:ec,carlynne,2348.544,2348.57324538,1,-67,2256
7996,88:36:6c:67:72:ec,carlynne,2348.6464,2348.67567264,1,-69,2256
