,sa,timedifference,sequence no,length
495,00:f4:6f:9e:c6:eb,699.597134812,16387,149
497,00:f4:6f:9e:c6:eb,700.0511814070001,16408,149
498,00:f4:6f:9e:c6:eb,700.0713294029999,16409,149
531,00:f4:6f:9e:c6:eb,703.893233108,16442,149
532,00:f4:6f:9e:c6:eb,704.0062625390001,16447,149
533,00:f4:6f:9e:c6:eb,704.026577355,16448,149
534,00:f4:6f:9e:c6:eb,704.14022082,16453,149
535,00:f4:6f:9e:c6:eb,704.2315107979999,16457,149
536,00:f4:6f:9e:c6:eb,704.251806869,16458,149
537,00:f4:6f:9e:c6:eb,704.294356775,16460,149
538,00:f4:6f:9e:c6:eb,704.5041651199999,16469,149
773,00:f4:6f:9e:c6:eb,1029.543029579,20490,149
774,00:f4:6f:9e:c6:eb,1029.630038403,20494,149
775,00:f4:6f:9e:c6:eb,1029.6498987349999,20495,149
776,00:f4:6f:9e:c6:eb,1029.693331409,20497,149
777,00:f4:6f:9e:c6:eb,1029.7806801499999,20501,149
801,00:f4:6f:9e:c6:eb,1033.6891632240001,20534,149
802,00:f4:6f:9e:c6:eb,1033.709710758,20536,149
803,00:f4:6f:9e:c6:eb,1033.751329136,20539,149
804,00:f4:6f:9e:c6:eb,1033.908014627,20546,149
805,00:f4:6f:9e:c6:eb,1033.928163976,20547,149
806,00:f4:6f:9e:c6:eb,1034.1764093240001,20558,149
807,00:f4:6f:9e:c6:eb,1034.400353496,20568,149
808,00:f4:6f:9e:c6:eb,1034.4205353549999,20569,149
809,00:f4:6f:9e:c6:eb,1034.443503236,20570,149
810,00:f4:6f:9e:c6:eb,1034.4631366840001,20571,149
