,sa,timedifference,sequence no,length
2290,84:2e:27:6b:53:df,4259.770945095,54007,158
2291,84:2e:27:6b:53:df,4259.773932426,54009,158
2292,84:2e:27:6b:53:df,4259.784262127,54015,158
2327,84:2e:27:6b:53:df,4583.780233011,57320,158
2328,84:2e:27:6b:53:df,4583.821811386,57328,158
2329,84:2e:27:6b:53:df,4583.823125391999,57329,158
2330,84:2e:27:6b:53:df,4583.932044593,57350,158
2332,84:2e:27:6b:53:df,4583.97381195,57359,158
2334,84:2e:27:6b:53:df,4584.11938245,57384,158
2335,84:2e:27:6b:53:df,4584.120768186,57385,158
2336,84:2e:27:6b:53:df,4584.122495226,57386,158
2338,84:2e:27:6b:53:df,4584.246077644,57408,158
2339,84:2e:27:6b:53:df,4584.25104124,57411,158
2340,84:2e:27:6b:53:df,4584.267737463,57413,158
2341,84:2e:27:6b:53:df,4584.271059832,57415,158
2367,84:2e:27:6b:53:df,4591.8296358630005,57466,158
2368,84:2e:27:6b:53:df,4591.8324452669995,57468,158
2369,84:2e:27:6b:53:df,4591.833757263,57469,158
2370,84:2e:27:6b:53:df,4591.8499926019995,57470,158
2371,84:2e:27:6b:53:df,4591.851382572,57471,158
2372,84:2e:27:6b:53:df,4591.852790404,57472,158
2373,84:2e:27:6b:53:df,4591.854085802,57473,158
2376,84:2e:27:6b:53:df,4591.923129201,57479,158
2378,84:2e:27:6b:53:df,4591.939938971,57480,158
2379,84:2e:27:6b:53:df,4591.941359312,57481,158
2380,84:2e:27:6b:53:df,4591.944086576999,57483,158
2383,84:2e:27:6b:53:df,4592.074559586999,57501,158
2384,84:2e:27:6b:53:df,4592.447913212,57548,158
2385,84:2e:27:6b:53:df,4592.449362946,57549,158
2386,84:2e:27:6b:53:df,4592.450756556,57550,158
2387,84:2e:27:6b:53:df,4592.452028323,57551,158
2388,84:2e:27:6b:53:df,4592.471038988,57554,158
2389,84:2e:27:6b:53:df,4592.472355594,57555,158
2390,84:2e:27:6b:53:df,4592.512793189,57562,158
2418,84:2e:27:6b:53:df,4648.398792985,57862,158
2419,84:2e:27:6b:53:df,4648.400131677,57863,158
2420,84:2e:27:6b:53:df,4648.401614718,57864,158
2421,84:2e:27:6b:53:df,4648.402855093,57865,158
2422,84:2e:27:6b:53:df,4648.41913281,57866,158
2423,84:2e:27:6b:53:df,4648.4205092639995,57867,158
2424,84:2e:27:6b:53:df,4648.4218745299995,57868,158
2425,84:2e:27:6b:53:df,4648.423245262,57869,158
2426,84:2e:27:6b:53:df,4648.442357263,57871,158
2427,84:2e:27:6b:53:df,4648.443732234,57872,158
2428,84:2e:27:6b:53:df,4648.445073928,57873,158
2429,84:2e:27:6b:53:df,4648.458982536999,57874,158
2430,84:2e:27:6b:53:df,4648.460324331,57875,158
2431,84:2e:27:6b:53:df,4648.461725593,57876,158
2432,84:2e:27:6b:53:df,4648.4630520519995,57877,158
2433,84:2e:27:6b:53:df,4648.478868753999,57878,158
2434,84:2e:27:6b:53:df,4648.480263771,57879,158
2435,84:2e:27:6b:53:df,4648.481661896,57880,158
2436,84:2e:27:6b:53:df,4648.482967958,57881,158
2437,84:2e:27:6b:53:df,4648.499822547,57882,158
2438,84:2e:27:6b:53:df,4648.5011617049995,57883,158
2439,84:2e:27:6b:53:df,4648.581014804,57898,158
2474,84:2e:27:6b:53:df,4753.983422017,58085,158
2475,84:2e:27:6b:53:df,4753.984705776999,58086,158
2476,84:2e:27:6b:53:df,4753.987397756,58088,158
2477,84:2e:27:6b:53:df,4754.003149326,58090,158
2478,84:2e:27:6b:53:df,4754.0045445139995,58091,158
2479,84:2e:27:6b:53:df,4754.024631394999,58095,158
2480,84:2e:27:6b:53:df,4754.026023185,58096,158
2481,84:2e:27:6b:53:df,4754.044991125,58099,158
2482,84:2e:27:6b:53:df,4754.047750264,58101,158
2483,84:2e:27:6b:53:df,4754.064798214,58103,158
2484,84:2e:27:6b:53:df,4754.067521801,58105,158
2485,84:2e:27:6b:53:df,4754.083177269999,58106,158
2486,84:2e:27:6b:53:df,4754.087299792,58109,158
2487,84:2e:27:6b:53:df,4754.105839138,58112,158
2488,84:2e:27:6b:53:df,4754.107159473,58113,158
2489,84:2e:27:6b:53:df,4754.123365423,58114,158
2490,84:2e:27:6b:53:df,4754.124735293,58115,158
2491,84:2e:27:6b:53:df,4754.126170563,58116,158
2492,84:2e:27:6b:53:df,4754.127499874,58117,158
