,sa,timedifference,sequence no,length
456,94:d7:71:fc:67:c9,627.5498881599999,3183,166
457,94:d7:71:fc:67:c9,627.577201578,3184,166
458,94:d7:71:fc:67:c9,628.0263847279999,3201,166
459,94:d7:71:fc:67:c9,628.053721175,3202,166
471,94:d7:71:fc:67:c9,687.4313762419999,3351,166
472,94:d7:71:fc:67:c9,687.6161659079999,3358,166
473,94:d7:71:fc:67:c9,687.643582284,3359,166
484,94:d7:71:fc:67:c9,709.113974452,3452,166
485,94:d7:71:fc:67:c9,709.1615170189999,3453,166
491,94:d7:71:fc:67:c9,709.68963851,3464,166
494,94:d7:71:fc:67:c9,709.737640745,3465,166
542,94:d7:71:fc:67:c9,715.375434515,3521,166
544,94:d7:71:fc:67:c9,715.403261832,3522,166
548,94:d7:71:fc:67:c9,715.852667272,3540,166
549,94:d7:71:fc:67:c9,715.8799743159999,3541,166
616,94:d7:71:fc:67:c9,743.310875382,3649,166
617,94:d7:71:fc:67:c9,743.338236791,3650,166
618,94:d7:71:fc:67:c9,749.6225568279999,3756,166
619,94:d7:71:fc:67:c9,749.6499328209999,3757,166
625,94:d7:71:fc:67:c9,749.8903646900001,3766,166
626,94:d7:71:fc:67:c9,755.461184895,3842,166
627,94:d7:71:fc:67:c9,755.48845806,3843,166
629,94:d7:71:fc:67:c9,808.146246187,4013,166
630,94:d7:71:fc:67:c9,808.1735681779999,4014,166
631,94:d7:71:fc:67:c9,808.626272367,4031,166
667,94:d7:71:fc:67:c9,868.3618714439999,4188,166
668,94:d7:71:fc:67:c9,868.38917738,4189,166
669,94:d7:71:fc:67:c9,928.5844820529999,4364,166
670,94:d7:71:fc:67:c9,928.660475101,4367,166
671,94:d7:71:fc:67:c9,988.2790360109999,4531,166
672,94:d7:71:fc:67:c9,988.5509824679999,4541,166
673,94:d7:71:fc:67:c9,988.9992369679999,4558,166
674,94:d7:71:fc:67:c9,989.0265359379999,4559,166
811,94:d7:71:fc:67:c9,1046.647837655,4658,166
812,94:d7:71:fc:67:c9,1046.695281595,4659,166
813,94:d7:71:fc:67:c9,1047.222984825,4670,166
814,94:d7:71:fc:67:c9,1047.271361594,4671,166
815,94:d7:71:fc:67:c9,1053.683667196,4738,166
828,94:d7:71:fc:67:c9,1075.030291286,4843,166
829,94:d7:71:fc:67:c9,1075.057751499,4844,166
830,94:d7:71:fc:67:c9,1081.339779877,4951,166
831,94:d7:71:fc:67:c9,1081.3670328859998,4952,166
832,94:d7:71:fc:67:c9,1087.0772352709998,5039,166
833,94:d7:71:fc:67:c9,1087.104587845,5040,166
850,94:d7:71:fc:67:c9,1169.0853324309999,5248,166
851,94:d7:71:fc:67:c9,1169.112499782,5249,166
852,94:d7:71:fc:67:c9,1169.56064329,5266,166
853,94:d7:71:fc:67:c9,1169.587940536,5267,166
