,sa,timedifference,sequence no,length
1939,ac:36:13:5b:00:45,3752.2169894910003,40883,159
1940,ac:36:13:5b:00:45,3752.2371749340004,40884,159
1941,ac:36:13:5b:00:45,3752.4091180650003,40892,159
1942,ac:36:13:5b:00:45,3752.474651225,40895,159
1943,ac:36:13:5b:00:45,3752.49481174,40896,159
1979,ac:36:13:5b:00:45,3766.475382815,40924,159
1980,ac:36:13:5b:00:45,3766.6169037310005,40927,159
1981,ac:36:13:5b:00:45,3766.6400424810004,40928,159
1988,ac:36:13:5b:00:45,3771.237358338,40969,157
1989,ac:36:13:5b:00:45,3771.257403658,40970,157
1990,ac:36:13:5b:00:45,3771.4149262170004,40978,157
1992,ac:36:13:5b:00:45,3771.456994955,40980,157
1993,ac:36:13:5b:00:45,3771.477229942,40981,157
1995,ac:36:13:5b:00:45,3771.592185878,40986,157
1996,ac:36:13:5b:00:45,3771.6126049860004,40987,157
1997,ac:36:13:5b:00:45,3771.7480324360004,40993,157
1998,ac:36:13:5b:00:45,3771.862874404,40998,157
1999,ac:36:13:5b:00:45,3771.883105152,40999,157
2128,ac:36:13:5b:00:45,4122.556263141,44977,159
2129,ac:36:13:5b:00:45,4122.576401235,44978,159
2130,ac:36:13:5b:00:45,4122.6420140949995,44981,159
2131,ac:36:13:5b:00:45,4122.729165994,44985,159
2132,ac:36:13:5b:00:45,4122.747072196999,44986,159
2133,ac:36:13:5b:00:45,4122.812612342999,44989,159
2134,ac:36:13:5b:00:45,4122.832928313,44990,159
2150,ac:36:13:5b:00:45,4126.848806831,45017,159
2152,ac:36:13:5b:00:45,4126.888946979,45018,159
2174,ac:36:13:5b:00:45,4131.403611734,45063,157
2177,ac:36:13:5b:00:45,4131.716714761,45079,157
2178,ac:36:13:5b:00:45,4131.735589045,45080,157
